id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
3,"Зрелость, социальные связи",Знакомство и дружба с Наташей,"После увольнения респондентка познакомилась с Наташей, которая стала близкой подругой и оказывала значительную поддержку на протяжении жизни.","Познакомились, продружили и дружим с ней всю жизнь с того момента. И она, конечно, сыграла важную роль в моей судьбе, потому что очень много по жизни ей помогала.","Благодарность, теплота, признательность","Дружба, взаимопомощь, доверие",Социальные связи и женская солидарность становятся опорой в периоды нестабильности. Дружба выходит за рамки формальных отношений и становится ресурсом выживания.,узел,неформальные социальные сети,,False,
4,"Зрелость, родительство",Материальная помощь подруги в трудной ситуации с кредитом,"Когда дочь респондентки попала в сложную финансовую ситуацию из-за разбитой в кредит машине, Наташа помогла закрыть кредит без процентов, проявив доверие и щедрость.","Наташа дала мне деньги и закрыла этот кредит. Ну, то есть она закрыла кредит, а мы давали ей деньги. То есть, понимаете, как это?","Облегчение, благодарность, доверие","Взаимовыручка, честность, доверие","В условиях слабых формальных институтов (банки, кредиты) неформальные отношения и взаимопомощь между друзьями и родственниками становятся альтернативой финансовым инструментам.",эпизод,"семья, неформальные финансовые практики",,"кредитование, покупка автомобиля",
5,Детство,Операция по удалению аппендицита в детстве,"В третьем классе респондентке удалили аппендицит в районной больнице. Операция прошла в сложных условиях, но она не испытывала страха благодаря поддержке семьи и религиозным установкам.","Врачи были пьяные, когда делали мне операцию. Я это никогда не забуду. Но я не боялась, потому что у меня были такие боли.","Удивление, стойкость, легкая ирония","Стойкость, вера, семейные традиции","Опыт советской медицины в провинции, религиозные практики как способ справляться со страхом и болью. Семейные и религиозные ценности закладываются с детства.",эпизод,"районная больница, семья",,False,
6,"Зрелость, здоровье",Удаление желчного пузыря во взрослом возрасте,Респондентка добровольно решилась на операцию по удалению желчного пузыря из-за проблем со здоровьем. Операция прошла с юмором и поддержкой врачей.,"Я говорю, я хочу спеть. Он говорит, ну, пойте. Я календарь перевернусь, и снова 3 сентября.","Легкость, юмор, принятие","Забота о здоровье, оптимизм, самостоятельность",Современные медицинские практики сочетаются с личной инициативой и позитивным отношением к трудностям.,эпизод,городская больница,,False,
7,"Настоящее, зрелость",Распорядок дня и повседневные практики,"Респондентка описывает свой распорядок дня: ранний подъем, забота о здоровье, домашние дела, помощь семье, регулярные прогулки, поддержание социальных связей и информационная активность.","Я просыпаюсь около шести, волшебный кот встает в пять-тридцать. То есть я по неволе судьбы иду кормить кота, ставлю чайник, пью стакан воды и питка, потому что у меня проблемы со здоровьем.","Спокойствие, удовлетворение, размеренность","Здоровье, порядок, семейные связи, самостоятельность","Повседневные практики зрелой женщины, сочетающей заботу о себе, семье и поддержание социальных связей. Важна роль рутин и самодисциплины.",декларация,"семья, неформальные социальные сети",1.0,"покупки, оплата счетов",
8,"Настоящее, зрелость",Отношение к отдыху и идеальный отпуск,"Респондентка предпочитает спокойный, малобюджетный отдых в гостевых домах с семьей и друзьями, самостоятельное приготовление пищи, прогулки и купание. Любит собирать грибы на родине и обмениваться дарами природы с подругой.","Идеальный отпуск, да просто мне не особо так скажем. У нас каждый отпуск проходит, в принципе, в одной системе. Мы ищем какой-то гостевой дом, причем мы не ищем какие-то гостиницы, в которых все включено. Мне не надо.","Спокойствие, удовлетворение, легкая ностальгия","Семейность, простота, самостоятельность, близость к природе","Отдых как продолжение семейных и дружеских практик, ориентация на простоту и самостоятельность, а не на массовый туризм.",декларация,"семья, неформальные сети, рынок гостевых домов",,"аренда жилья, обмен дарами природы",
1,Семейная жизнь в 1990-е годы,Конфликты в браке из-за алкоголизма супруга,"В начале 1990-х годов супруг респондентки злоупотреблял алкоголем, что приводило к частым конфликтам и даже мыслям о разводе. Ситуация постепенно изменилась после того, как респондентка вышла на работу и расширила круг общения.","Это были конфликты из-за того, что он злоупотреблял алкоголь... мне хотелось вообще развести, потому что я уйду...","Разочарование, усталость, тревога, затем облегчение","Семья, независимость, личное пространство, дружба","Ситуация типична для постсоветских семей, где бытовое пьянство мужчин и экономические трудности 1990-х годов приводили к семейным кризисам. Выход женщины на работу становится фактором стабилизации и расширения социальных связей.",перелом,,Переезд в квартиру свекрови после её выхода на пенсию,Переход от съемного жилья к проживанию в собственной квартире,
2,"Зрелость, взросление дочери",Изменения в семейных отношениях после замужества дочери,"После того, как дочь респондентки вышла замуж и стала жить отдельно, атмосфера в семье изменилась. Респондентка испытывала трудности с принятием нового статуса, но гордится выбором дочери.","Я сначала никак не могла привыкнуть, что её нет дома, что она у нас теперь живёт отдельно. Мне нравится моя дочь. Она мне сказала, мама, я выбрала отца для своих детей.","Грусть, гордость, принятие","Семейные связи, самостоятельность детей, материнская забота","Переход дочери во взрослую жизнь — важный этап для матери, связанный с переосмыслением собственной роли и семейной структуры. Подчеркивается значимость межпоколенческих отношений.",эпизод,"Высшее образование дочери (платное), брак",,,
3,"Зрелость, поддержание семейных традиций",Семейные традиции и праздники,"Семья респондентки регулярно собирается на праздники, особенно на религиозные и семейные даты, поддерживая традиции, заложенные старшими поколениями.","У нас семейная традиция всегда собираться все вместе у мамы в доме обязательно... 7 августа собираемся все вместе, всегда.","Тепло, гордость, ностальгия","Семейственность, преемственность, уважение к старшим, традиции",Семейные традиции выступают инструментом сплочения и передачи культурных норм между поколениями. Подчеркивается роль женщины как хранительницы семейных ритуалов.,узел,"Семейные праздники, религиозные традиции",,,True
4,"Зрелость, личная автономия",Ощущение одиночества и отношения к дому детства,"Респондентка не чувствует себя одинокой благодаря широкому кругу общения, но испытывает внутренний дискомфорт и тревогу, находясь в доме детства в деревне.","Я одна-то никогда не бываю... Хотя мне всегда хотелось уехать из дома... Я приезжаю... Я сплю не в доме, а сплю у нас пристройка в доме, он неотапливаемый.","Спокойствие, тревога, легкая отстранённость","Свобода, независимость, безопасность, общение","Для женщин старшего поколения характерно наличие широкой социальной сети, компенсирующей возможное одиночество. Дискомфорт в родительском доме может быть связан с изменением жизненных обстоятельств и внутренними страхами.",декларация,,Дом в деревне (родительский дом),,False
5,"Зрелость, забота о здоровье",Отказ от курения и отношение к вредным привычкам,"Респондентка бросила курить после многолетней привычки, мотивированная состоянием здоровья и желанием быть рядом с внучкой.","Я бросила по состоянию здоровья, кстати... Я говорю, ради Киры я стараюсь, для меня внучка это всё.","Решимость, забота, удовлетворение","Здоровье, ответственность, любовь к семье",Отказ от вредных привычек часто связан с возрастными изменениями и появлением новых семейных ролей (бабушка). Мотивация — забота о здоровье ради близких.,перелом,,,"Потребление медицинских услуг, отказ от табачных изделий",
6,"Зрелость, новые практики заботы о себе",Внедрение новых привычек для здоровья,"Респондентка впервые поехала в санаторий и планирует сделать это ежегодной традицией, предпочитая отдых с подругой.","В том году, в октябре месяце, 1 октября, я первый раз поехала в санаторий. То есть для меня сейчас, я хочу каждый год, это как система...","Воодушевление, удовлетворение","Здоровье, самосовершенствование, женская дружба",Санаторно-курортное лечение становится частью стратегии поддержания здоровья у женщин старшего возраста. Важна поддержка подруг и самостоятельное планирование досуга.,эпизод,"Санаторий, система здравоохранения",,Платные медицинские услуги,
7,"Зрелость, отношение к медицине и традициям",Отношение к народной и официальной медицине,"Респондентка не верит в экстрасенсов и массовые практики, но положительно относится к траволечению, опираясь на семейный опыт.","Я не верю в это... Отец травами занимался. Я могу сказать, что травы это да, но травы без каких-то определённых лекарств они... Они полезны.","Скепсис, уважение к семейным традициям","Рациональность, уважение к опыту старших, здоровье","Скептическое отношение к массовым практикам (экстрасенсы, Чумак) сочетается с доверием к семейным традициям траволечения. Это отражает смешение рационального и традиционного подходов к здоровью.",декларация,"Семейные традиции, народная медицина",,,
8,"Зрелость, пандемия",Отношение к вакцинации и здравоохранению,"Респондентка сделала прививку от коронавируса дважды, подчёркивая обязательность вакцинации для допуска к работе и посещения детских учреждений внучкой.","Я делала прививку от коронавируса два раза... У нас обязательные условия в садике, в который мы ходим сейчас, там все прививки обязательные, там не берут.","Принятие, прагматизм","Здоровье, ответственность, следование правилам","Вакцинация воспринимается как социальная и профессиональная необходимость, а не личный выбор. Подчеркивается роль институциональных требований.",декларация,"Система здравоохранения, детский сад",,Государственные услуги здравоохранения,
1,зрелый возраст (50+),Опыт взаимодействия с медицинскими учреждениями,"Респондентка негативно оценивает качество медицинских услуг в своей поликлинике, сталкивается с формальным и безразличным отношением врачей, предпочитает обращаться в проверенные больницы, где лечились члены семьи.","Ужасная поликлиника. И врагу я не пожелаю пойти в нашу поликлинику. Особо к моему волшебному доктору. Ей 76 лет, я прихожу к ней в 50 лет, я говорю, знаете, доктор, у меня что-то давление там. Она говорит, а что ты хочешь, тебе старость пришла.","разочарование, недоверие, раздражение","забота о здоровье, доверие к специалистам, семейные традиции","Опыт респондентки отражает типичное недоверие к государственной медицине у старшего поколения, поиск альтернативных путей решения медицинских проблем, ориентация на личный опыт и семейные рекомендации.",эпизод,"государственная поликлиника, областная больница",,,
2,зрелый возраст,Стратегии преодоления стресса,"Респондентка использует медикаменты (глицин), физическую активность, общение с близкими и посещение храма для борьбы со стрессом. Не доверяет психологам из-за негативного опыта в окружении.","Я, наверное, конечно, со стрессом неправильно справляюсь. Я пью углицы. И стараюсь находить в себе положительные эмоции.","самокритика, поиск опоры, недоверие","самостоятельность, эмоциональная устойчивость, религиозность","Преобладает установка на самостоятельное преодоление трудностей, характерная для поколения, выросшего в условиях ограниченного доступа к психологической помощи. Религиозность становится важным ресурсом.",декларация,"церковь, семья",,,
3,зрелый возраст,Потери и переживание утрат,"Смерть отца и двух близких подруг стала сильным стрессом для респондентки, вызвала чувство вины и осознание хрупкости жизни. Важную роль в переживании утрат играет религия.",Отец это был страшный стресс для меня. Что-то земля из-под ног ушла.,"грусть, вина, скорбь, принятие","семья, дружба, поддержка, духовность","Потери близких становятся точкой переосмысления жизненных ценностей, религиозная практика выступает способом справиться с утратой и найти смысл.",перелом,"церковь, семья",,,
4,зрелый возраст,"Одиночество, страх остаться без поддержки и сценарии старости","Респондентка размышляет о будущем, боится остаться одна, как ее подруги, но отмечает наличие семьи и возможность переезда в пансионат при необходимости.","Нет, мысли такие посещают, что не хотелось бы оказаться в ситуации вот такой, как мои подруги, чтобы остаться одни.","тревога, беспокойство, рационализация","семья, независимость, забота о себе","Страх одиночества в старости — типичная черта для женщин старшего возраста, особенно на фоне наблюдения за судьбами сверстниц. Пансионат рассматривается как рациональный выход.",узел,"семья, пансионат","есть дом, возможность переезда",,
5,детство и юность,Формирование трудовых и финансовых установок,"С раннего возраста респондентка работала летом, чтобы зарабатывать деньги, что сформировало у нее самостоятельность и стремление к финансовой независимости.","Очень рано я начала зарабатывать деньги. Это в каком возрасте вы начали зарабатывать? Ух, в 87-м уже зарабатывала летний день.","гордость, самостоятельность","трудолюбие, самостоятельность, финансовая независимость","Ранний трудовой опыт характерен для советских семей с невысоким достатком, где дети с детства приучались к самостоятельности и вкладу в семейный бюджет.",эпизод,"семья, лесничество",,ранний труд,
6,молодость,Выбор профессии и образовательной траектории,"Респондентка выбрала экономический техникум и профессию бухгалтера, чтобы быстрее начать зарабатывать и быть финансово независимой, ориентируясь на пример подруги.","Я пошла в техникум экономический, потому что я хотела зарабатывать. Хотела самостоятельно, никого не запить.","решимость, прагматизм","прагматизм, самостоятельность, финансовая устойчивость",Выбор образования и профессии под влиянием экономических обстоятельств семьи и ориентации на успешных знакомых — типичная стратегия для девушек из семей среднего достатка.,узел,экономический техникум,,выбор профессии,
7,молодость — зрелость,Финансовые кризисы и стратегии выживания,"Семья респондентки пережила дефолт, потерю накоплений, не смогла реализовать планы по улучшению жилищных условий, но впоследствии смогла купить квартиру в кредит.","Как же, а дефолт? Куда он делся? Когда мы голодали, когда не было, не платили зарплату. Это было что-то ужасное.","разочарование, стойкость","устойчивость, забота о семье, ответственность","Опыт финансовых потрясений 1990-х — важный элемент биографии поколения, сформировавший осторожное отношение к деньгам и склонность к накопительству.",перелом,"банк, семья","планы на корпоративную квартиру не реализованы, позже куплена квартира в кредит","ипотека, накопительство",
8,зрелый возраст,Потребительское поведение и отношение к онлайн-покупкам,"Респондентка не склонна к импульсивным крупным покупкам, предпочитает планировать расходы, негативно относится к онлайн-маркетплейсам из-за неудобства возврата товаров.","Я ее терпеть ненавижу. Почему? Да не знаю. Мне несколько раз там чего-то меня отнесли, товар, я не могла его вернуть.","раздражение, рациональность","бережливость, рациональность, недоверие к новому","Скепсис по отношению к онлайн-торговле характерен для старшего поколения, привыкшего к традиционным формам потребления и осторожного в отношении новых сервисов.",декларация,"онлайн-маркетплейсы (Wildberries, Ozon)",,ограниченное участие в онлайн-торговле,
1,"Зрелость, семейная жизнь",Финансовое поведение и кредитование,"Респондентка рассказывает о своем опыте использования кредитных карт, подчеркивает осторожность в финансовых вопросах и отсутствие долгов.","Я ни разу не вышла из периода оплаты, чтобы не переплачивать, чтобы не перепекать.","Умеренная уверенность, осторожность","Финансовая дисциплина, ответственность, избегание долгов","Респондентка демонстрирует типичное для старшего поколения отношение к кредитам — осторожность, стремление не выходить за рамки обязательств, негативное отношение к избыточному кредитованию.",эпизод,,,"Пользование кредитными картами, отказ от кредитов",
2,"Зрелость, семейная жизнь",Семейный бюджет и распределение финансов,"В семье существует общий бюджет, но муж контролирует основные доходы и крупные расходы. Респондентка получает фиксированную сумму на продукты и коммунальные платежи.","Я не могу без бюджета моего мужа, потому что у него зарплата не вся официальная, скажем так.","Сдержанность, прагматизм","Семейная стабильность, прозрачность расходов, доверие","Семейная финансовая модель с доминирующей ролью мужа в управлении доходами типична для традиционных семейных структур. Женщина отвечает за повседневные расходы, мужчина — за крупные покупки.",узел,Семья,,,
3,"Зрелость, профессиональная самореализация",Отношение к гендерным ролям и карьере,"Респондентка выступает против традиционного разделения ролей, считает, что и мужчина, и женщина должны строить карьеру, чтобы не оказаться в уязвимом положении.","Я считаю, что и муж, и жена, они все-таки должны строить карьеру. Не обязательно женщине быть сидеть дома.","Уверенность, критичность","Самостоятельность, независимость, равноправие","Респондентка демонстрирует современные взгляды на гендерные роли, подчеркивая важность экономической самостоятельности женщин.",декларация,,,,
4,Пенсионный возраст,Финансовое положение и ожидания,"Респондентка живет на пенсию и подработки, считает свой доход недостаточным, выражает недовольство уровнем пенсии и политикой государства по отношению к пенсионерам.","Мне этих денег не хватает, Максим. Я вам могу сказать, как это в Уральских пельменях, когда кот жил на бабушкиной пенсии. Мне хватает, бабушке не хватает.","Недовольство, ирония","Социальная справедливость, достойная старость",Проблема низких пенсий и неудовлетворенность социальной политикой государства — характерная черта для российских пенсионеров.,декларация,Пенсионная система,Планирует переезд к дочери при улучшении финансового положения,,
5,Пенсионный возраст,Смысл денег и финансовая безопасность,"Деньги для респондентки — это уверенность в завтрашнем дне и ощущение безопасности, сформированное опытом дефицита в прошлом.",Деньги – это уверенность в завтрашнем дне.,"Сдержанная тревожность, прагматизм","Безопасность, стабильность",Опыт экономических кризисов и дефицита в СССР формирует у старшего поколения особое отношение к деньгам как к средству выживания и безопасности.,декларация,,,,
6,"Молодость, студенчество",Опыт взаимодействия с полицией,Единственный опыт взаимодействия с полицией связан с кражей джинсов в общежитии в 1980-х годах.,"У меня украли джинсы в общаге. Вот это было. И то это было в 84-85 году, когда я купила джинсы у фарцовщика за офигенные деньги на рынке.","Легкая ирония, ностальгия","Честность, справедливость",Эпизод иллюстрирует бытовые трудности и ценность материальных благ в советское время.,эпизод,Полиция,,,
7,"Зрелость, профессиональная деятельность",Судебные споры и опыт работы с государственными органами,"Респондентка участвовала в длительных судебных процессах по выкупу земельного участка для организации, где работала, и успешно завершила их.",Суд выиграли и выкупили земельный участок. И на месте арендованного здания директор построил благополучную гостиницу и ресторан.,"Гордость, удовлетворение","Профессионализм, настойчивость",Опыт взаимодействия с государственными органами и судами показывает компетентность респондентки и сложность бюрократических процедур.,эпизод,"Суд, Министерство имущества",,,
8,"Зрелость, профессиональная деятельность",Взаимодействие с налоговой службой,"Долгий опыт работы бухгалтером, регулярное взаимодействие с налоговой, переход от личных контактов к электронному документообороту.","Служба, это по жизни со мной работает плотно. Так как я работаю бухгалтером с 83-го года...","Ирония, облегчение (от современных изменений)","Профессионализм, адаптация к изменениям",Переход к цифровизации государственных услуг воспринимается как значительное облегчение профессиональной деятельности.,узел,Налоговая служба,,,
9,"Зрелость, профессиональная деятельность",Взаимодействие с МФЦ и оформление недвижимости,"Положительный опыт работы с МФЦ при продаже недвижимости и оформлении наследства, отмечает удобство и профессионализм сотрудников.","Мне нравится электронная очередь, тоже мне очень нравится. То есть мне нравится, я могу получить документ в электронном виде.","Удовлетворение, спокойствие","Упорядоченность, технологичность",Современные сервисы МФЦ воспринимаются как пример эффективной работы государственных структур.,эпизод,МФЦ,,,
10,Пенсионный возраст,Оценка государственной помощи и социальных услуг,"Респондентка положительно оценивает упрощение оформления документов, но критикует рост коммунальных платежей, недостатки медицины и образования, а также минимальные выплаты пенсионерам.","Я считаю, что это барбарское отношение к народу. Потом в медицинском обслуживании тоже есть свои, скажем, подводные камни.","Критика, разочарование","Социальная справедливость, забота о слабых",Респондентка выражает типичное для пенсионеров недовольство уровнем социальной поддержки и ростом расходов.,декларация,Государственные структуры,,,
11,Пенсионный возраст,Региональная и федеральная политика,"Респондентка отмечает улучшения в благоустройстве города, но критикует недостаток поддержки детей и пенсионеров, а также рост налогов на федеральном уровне.",Федеральное достижение – это налоги. Это главные налоги. Уменьшить НДС.,"Сдержанная критика, ирония","Благоустройство, поддержка уязвимых групп","Видна разница в восприятии региональных и федеральных властей: локальные улучшения признаются, федеральная политика критикуется за фискальность.",декларация,Региональные и федеральные органы,,,
12,Пенсионный возраст,Отношение к политике и гражданской активности,"Респондентка дистанцируется от политики, ограничивается профессиональным интересом к налогам и ставкам, не ощущает своей субъектности в государстве.","Политикой я в общих чертах. Потому что мне нужно платить налоги, я смотрю ставки и читаю новости. А политике я далеко.","Безразличие, отчуждение","Прагматизм, частная жизнь","Демонстрируется характерная для части старшего поколения апатия и отчуждение от политической жизни, ощущение отсутствия влияния на государственные процессы.",декларация,,,,
1,"зрелость, активная гражданская позиция",отношение к выборам и власти,"Респондентка регулярно участвует в выборах, ощущая это своим гражданским долгом, но испытывает сомнения в эффективности своего голоса и разочарование в работе местных властей, особенно в вопросах городской инфраструктуры.","Я хожу на выборы, на выборы я хожу, исполняю свой долг. Но у меня всегда какое-то мутное сомнение есть, что, мать, мой голос уходит не туда, куда надо.","разочарование, тревога, скепсис","гражданская ответственность, патриотизм, справедливость, забота о городе","Респондентка демонстрирует типичную для зрелого поколения установку на участие в выборах как на моральный долг, но при этом выражает недоверие к эффективности избирательной системы и разочарование в местных властях. Критика транспортной системы иллюстрирует фрустрацию по поводу качества городской среды.",декларация,"выборы, местная администрация, транспортная система",False,False,
