id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,pets
11,Детство (0-7 лет),Любознательность и увлечения,"В детстве был очень любознательным, увлекался природой, энциклопедиями, разводил пауков. Любил занятия, где мог быть сам с собой, исследовал мир.","Я был любознательный ребенок, я увлекался до 7 лет природой, натуралистикой всякой... Очень любил пауков, разводил их у себя дома.","интерес, радость","познание, самостоятельность, эстетика",Ранние индивидуальные интересы и склонность к самостоятельному исследованию мира — важный ресурс для формирования устойчивой личности.,эпизод,,,,True,
12,Школьные годы (7-17 лет),Учеба и отношения с учителями,"В школе учился хорошо до 6-7 класса, был хорошистом и отличником. После начала девиантного поведения отношения с учителями ухудшились, но сохранялось уважение. Классного руководителя и еще нескольких учеников досматривали перед выпускным.","До шестого класса, до седьмого очень положительно. Когда уже началось это поведение уличное... классная руководительница моя, то есть я и три моих одноклассника, мы были единственные, кого осматривали перед выпускным.","нейтрально-негативный, ирония","уважение, справедливость",Изменение отношения педагогов к ученику связано с изменением его поведения. Система образования реагирует на девиантность мерами контроля.,эпизод,школа,,,True,
13,Переход к взрослой жизни (17-21 год),Поступление в вуз под давлением родителей,"Поступил в вуз не по собственному желанию, а под давлением родителей и по примеру одноклассников. Не ощущал ответственности за свой выбор.","Абсолютно не хотел. Я не хотел учиться. Это было под давлением родителей сделано. И я, наверное, за три дня до окончания сроков подачи подал в институт, в который подали документы два моих одноклассника.","апатия, безразличие","конформизм, семья","Выбор образовательной траектории под влиянием семьи и окружения — типичная ситуация для молодых людей, не имеющих четких жизненных ориентиров.",эпизод,вуз,,,True,
1,Поступление и обучение в вузе,Поиск профессионального пути и разочарование в образовании,"Респондент начал обучение на химико-технолога, но понял, что это не его, сменил направление на менеджмент, однако и там столкнулся с разочарованием из-за несоответствия ожиданий и реального содержания учебы. Принял решение сосредоточиться на практическом опыте и работе.","Я понял, что я не буду тратить три года просто за партой учиться непонятно чему. И я с родителями пообщался, я сказал, что я пошел работать.","Разочарование, осознанность, решимость","Практичность, самостоятельность, ответственность","Типичная для современных молодых людей ситуация: разрыв между ожиданиями от высшего образования и реальным опытом, акцент на практических навыках и раннем вхождении в рынок труда.",перелом,вуз (институт),,начало трудовой деятельности,,
2,Начало трудовой деятельности,"Первые шаги в карьере, попытки в продажах","Респондент начал работать в сфере продаж, пробовал себя на разных местах, но понял, что его личностные качества не соответствуют требованиям профессии. Испытывал трудности с заработком и осознал, что продажи — не его путь.","У меня я логический интроверт, это вообще не про... Я могу один раз пообщаться с человеком, донести до него мысль, продать ее, но если системно каждый день с людьми общаться регулярно, у меня не хватит сил.","Фрустрация, саморефлексия","Самопознание, честность с собой","Показательный пример поиска себя на рынке труда, попытки адаптации к востребованным профессиям, но с учетом личностных ограничений. Важность саморефлексии для профессионального самоопределения.",эпизод,,,работа в продажах,,
3,"Молодость, первые отношения",Опыт личных отношений,"Респондент рассказывает о первых отношениях с девушкой, которые длились около полугода. Отношения начались после неудачной влюбленности в другую девушку. В настоящее время отношений нет.",Я ей предложил отношения. Мы где-то полгодика встречались.,"Спокойствие, некоторая грусть","Искренность, открытость к опыту","Опыт первых отношений типичен для молодежи, отмечается некоторая неуверенность и поиск себя в романтической сфере.",эпизод,,,,,
4,Детство и подростковый возраст,"Влияние семьи и социальной среды, формирование травм","Респондент анализирует влияние семейных установок и социальной среды на формирование своих убеждений, травм и самооценки. Отмечает травму отвержения, перфекционизм, чувство стыда и страх оценки, которые мешали строить отношения и приводили к изоляции.","Мне объясняли, что нужно быть хорошим мальчиком, правильным. Я с ума сходил из-за этого. Перфекционизм меня доводил.","Боль, саморефлексия","Самоанализ, стремление к принятию себя","Видна роль семейных и социальных норм в формировании психологических трудностей, типичный для постсоветской среды конфликт между индивидуальностью и коллективными ожиданиями.",узел,,,,,
5,"Детство, школьные годы",Буллинг и социальная изоляция,Респондент сталкивался с буллингом и изоляцией в школе из-за своей любознательности и отличия от большинства. Социальные стереотипы мешали формированию позитивной самооценки.,"Грубым словом таких называют задроты. И во всех фильмах, во всех сериалах, Таких задротов над ними издеваются, все девочки их обходят стороной, и общество обходит стороной. То же самое было у меня в школе.","Обида, отчуждение","Желание быть принятым, стремление к самопринятию",Проблема буллинга и стигматизации отличающихся детей — важная тема для российского общества. Формирует долгосрочные психологические последствия.,эпизод,,,,,
6,"Детство, 7 лет",Переезд и стресс,"В возрасте 7 лет респондент пережил переезд, который стал для него сильным стрессом и даже частично вытеснился из памяти. Испытывал тревогу и трудности с адаптацией.","Вот смотрите, в 7 лет это единственный период жизни и переезд в другой дом, который у меня выпал из памяти вообще.","Тревога, стресс","Потребность в стабильности, безопасность","Переезд в детстве часто становится травмирующим событием, особенно при отсутствии поддержки и развитой внутренней опоры.",эпизод,,0.0,,,
7,Детство и подростковый возраст,"Отсутствие внутренней опоры, зависимость от внешней среды","До 13 лет респондент не имел внутренней опоры, полностью зависел от внешних обстоятельств и среды. Позже пытался черпать силы из мечты стать спортсменом, но разочаровался, когда цель не была достигнута.","До 13 лет у меня ее не было, внутренней опоры вообще никакой. Я зависел от внешней среды.","Уязвимость, разочарование","Поиск смысла, стремление к самостоятельности",Отсутствие внутренней опоры характерно для детей в семьях с низкой эмоциональной поддержкой. Попытки компенсировать это внешними целями часто приводят к разочарованию.,узел,,,,,
8,"Подростковый возраст, старшие классы","Психологические трудности, уход в иллюзии","В стрессовых ситуациях до 10 класса респондент уходил в иллюзии, не мог смотреть на себя со стороны. Только после обращения к психологу начал осознавать свои состояния.","У меня стресс, я в иллюзию ухожу. У меня все хорошо. вера и мать иллюзия.","Беспомощность, тревога","Стремление к самопознанию, честность",Психологическая защита в виде ухода в фантазии — частый способ совладания с травмирующими обстоятельствами у подростков.,эпизод,,,,,
9,Подростковый возраст,Ложь как способ эмоционального выживания,"Респондент признает, что часто лгал семье, чтобы избежать негативных последствий и сохранить эмоциональное равновесие.","Я, по сути, привык лгать, чтобы эмоционально выжить. Не физически, а эмоционально. Перед семьёй лгать, чтобы у неё не было последствий.","Вина, оправданность","Самосохранение, адаптация",Ложь как защитный механизм — распространённая стратегия у подростков в авторитарных или тревожных семьях.,декларация,,,,,
10,"Подростковый возраст, 8 класс",Самостоятельное принятие решений вопреки родителям,"Респондент тайно подготовился и перевелся в другой класс, чтобы быть ближе к другу и заниматься интересными предметами, несмотря на запрет родителей.","Я тайком выучил, у меня друг был в биологическом классе, самый близкий был, и я выучил тайком биологию с химией от родителей. Пошел, сдал экзамены внутри школы. И просто потом пришел, и маму перед фактом поставил.","Решимость, тревога","Самостоятельность, дружба, стремление к интересу","Переход к самостоятельности часто сопровождается конфликтами с родителями, особенно в вопросах образования.",эпизод,,,,,
11,"Детство, с 7 лет",Суицидальные мысли и отсутствие поддержки,"С 7 лет у респондента возникали суицидальные мысли, о которых он пытался говорить с матерью, но не получал поддержки или понимания.","Я говорю, мама, мне иногда умереть хочется. Она во внимание не приняла, говорит, что ты туда чушь говоришь, подбросит и не обращает внимания.","Одиночество, отчаяние","Потребность в принятии, поддержке","Тема детских суицидальных мыслей и игнорирования их взрослыми — острая проблема, указывающая на дефицит эмоциональной поддержки в семье.",эпизод,,,,,
12,Настоящее время,Распорядок дня и поддерживающие практики,"Респондент описывает свой распорядок дня: утренняя гимнастика, завтрак, прогулки, чтение, работа, посещение групповой терапии для зависимых, медитация. Общение с семьей ограничено, больше ценит встречи с друзьями.","Я хожу на группы терапию для зависимых, я пишу какие-то задания, да, специально. Вот, в какие-то дни, я там 3-4 раза в неделю посещаю там собрания для зависимых.","Стабильность, стремление к восстановлению","Здоровье, самопомощь, поддержка",Видна роль саморегуляции и групп поддержки в жизни людей с опытом зависимости. Важность социальных связей вне семьи.,эпизод,,,,,
13,Настоящее время,Отношения с семьей и друзьями,"Семейные отношения наладились, но респондент предпочитает не делиться с родителями внутренними переживаниями из-за их тревожности. Основную эмоциональную поддержку получает от друзей и групп.","С семьей я не мешаю внутренней личности. Просто бытовые. Я там говорю, у меня там проблема с пересдачей экзамена. Вот такое я могу сказать. У меня там проблемы душевные какие-то есть. а не рассказывайте потому что вы переживете","Осторожность, дистанция","Доверие, забота о близких, эмоциональная автономия","Типичная для молодых взрослых стратегия: разделение бытового и эмоционального общения с родителями, поиск поддержки вне семьи.",декларация,,,,,
14,Настоящее время,Домашние питомцы,"Респондент раньше держал пауков, отмечает их удобство и спокойствие как домашних животных.","Они самые вообще спокойные, они ничего не портят, не пасут, никак не... не звучат и там корма на 50 рублей в месяц.","Удовлетворение, спокойствие","Практичность, минимализм",Выбор необычных домашних животных может говорить о стремлении к индивидуальности и минимизации забот.,эпизод,,,,,пауки
15,Настоящее время,Сон и утреннее самочувствие,"Респондент отмечает, что каждое утро чувствует себя тяжело как физически, так и эмоционально. Сон тревожный.","всегда, да, вообще каждое утро у меня тяжелый вечер... сон тревожный всегда.","Усталость, тревожность","Здоровье, восстановление",Проблемы со сном и утренним самочувствием часто сопутствуют людям с эмоциональными трудностями и опытом зависимости.,декларация,,,,,
1,"Выздоровление после употребления веществ, юность",Проблемы со сном и энергией,"Респондент отмечает хронические проблемы со сном и низким уровнем энергии, которые начались после прекращения употребления веществ. Он связывает это с наследственностью и считает важным беречь силы.","Я не высыпаюсь, да, я не высыпаюсь. И у меня это очень большая проблема. Вот еще в классе, когда я начал выздоравливать. проблемы со сном после прекращения всех этих веществ и всегда ощущение низкого уровня энергии.","усталость, фрустрация","бережное отношение к себе, осознанность, принятие ограничений","Проблемы со сном и энергией часто сопровождают людей, проходящих через реабилитацию после зависимостей. Осознание наследственных факторов и принятие ограничений свидетельствуют о рефлексии и попытке адаптации.",декларация,,,,True,
2,"Недавний опыт работы, взрослая жизнь",Работа и условия труда,"Респондент работал в малом бизнесе у друга, где столкнулся с тяжелыми условиями труда и низкой зарплатой. В итоге уволился, осознав, что не готов мириться с такими условиями.","Там условия были, откровенно говоря, ужасные. Большая перегрузка на работе, регулярные проблемы с начальником... И потом я понял, что мне не нравится, я уволился.","разочарование, усталость, решимость","самоуважение, поиск баланса, честность с собой",Опыт работы в малом бизнесе часто сопряжен с отсутствием социальных гарантий и перегрузками. Увольнение становится актом самосохранения и поиска лучших условий.,эпизод,малый бизнес (студия мебели),,низкая,True,
3,"Текущий этап, взрослая жизнь",Кризис профессиональной идентичности,"Респондент испытывает кризис в карьере, пробовал себя в разных сферах коммерческой деятельности, но не нашел подходящего направления. Сейчас рассматривает тендерный бизнес.","Кучу всего перепробовал. Везде себя попробовал коммерческой деятельности. Не подошло. Основные такие моменты. Непонятно, что делать дальше. Зарабатывать надо.","неуверенность, тревога, поиск","самореализация, финансовая стабильность","Кризис профессиональной идентичности характерен для молодых взрослых, особенно после неудачного опыта работы. Поиск себя сопровождается тревогой и необходимостью зарабатывать.",перелом,,,,True,
4,"Текущий этап, взрослая жизнь",Профессиональные предпочтения и ограничения,"Респондент осознает свои сильные и слабые стороны: предпочитает проектно-операционную деятельность, работу с документами, минимальное общение. Признает дефицит коммуникативных навыков.","Любая коммерческая деятельность, где не нужно много общаться. Вот это моя все-таки такая дефицитная сторона. Я признал это при себе...","принятие, спокойствие","осознанность, честность с собой",Осознание профессиональных ограничений и предпочтений — важный этап взросления и построения карьеры.,декларация,,,,True,
5,"Текущий этап, взрослая жизнь",Досуг и хобби,"Респондент увлекается китайским чаем, прогулками в одиночестве, стендовым моделированием (ранее), медитацией. Спортом занимается нерегулярно из-за нехватки времени и сил.","Я люблю китайский чай... люблю прогулки один гулять... раньше увлекался стендовым моделированием... медитирую, по вечерам это тоже, у меня медитация час длится...","умиротворение, легкая грусть","уединение, созерцательность, самопознание",Выбор досуга отражает стремление к уединению и восстановлению внутреннего баланса. Хобби с ручным трудом и медитация — способы саморегуляции.,эпизод,,,,True,
6,"Текущий этап, взрослая жизнь",Культурные предпочтения,"Респондент читает книги по психологии и бизнесу, не интересуется художественной литературой и фильмами, слушает музыку. Времени на развлечения мало.","Я люблю подумать. Не научную литературу. Я психологию читаю. Я читал бизнес-литературу, какую-то карьерную, личностный рост.","спокойствие, рациональность","развитие, самообразование","Склонность к саморазвитию и рациональному досугу характерна для людей, переживающих кризис идентичности и ищущих новые смыслы.",декларация,,,,True,
7,"Текущий этап, взрослая жизнь",Отдых на природе и отношение к экологии,"Респондент предпочитает уединенный отдых на природе, любит выезды за город с минимальным набором вещей. К экологическим проблемам относится безответственно.","А именно отдохнуть, только одному поехать, котелок с собой взять, воды, мой чай. И посидеть там, попить чайку, вот это я прям с удовольствием... Я в этом плане безответственный социально, если честно.","умиротворение, равнодушие","уединение, личный комфорт",Стремление к уединению на природе — способ восстановления. Безразличие к экологии отражает индивидуалистскую позицию и низкую включенность в коллективные практики.,декларация,,,,True,
8,"Текущий этап, взрослая жизнь",Праздники и традиции,"Респондент не любит активные праздники, предпочитает уединение. Единственный значимый праздник — день ВДВ, который отмечает с друзьями-ветеранами.","Наверное, один праздник, который я люблю, это день ВДВ и ВДВС. Ну, а то я прям люблю этот праздник, меня прям радует, когда мы встречаемся там все вместе.","радость (ВДВ), равнодушие (остальные праздники)","товарищество, память, индивидуализм","Праздники становятся значимыми, если связаны с личной историей и групповой идентичностью (ВДВ). Семейные и массовые традиции не вызывают отклика.",узел,,,,True,
9,"Текущий этап, взрослая жизнь",Распорядок дня и удовлетворенность жизнью,"Респондент недоволен своим распорядком дня: не хватает сил и времени на желаемые занятия, особенно вечером. Считает, что усталость мешает реализовывать планы.","Я на самом деле не сильно удовлетворен, потому что у меня не хватает времени вечером. Знаете, не то, что времени не хватает, у меня не хватает сил делать то, что я хотел бы спланировать.","разочарование, усталость","саморазвитие, забота о себе","Недостаток энергии и времени — частая проблема людей, находящихся в состоянии профессионального и личного поиска.",декларация,,,,True,
10,"Текущий этап, взрослая жизнь",Социальные связи и близкие люди,"Респонденту важно общение, несмотря на любовь к уединению. Основные связи — группы трезвости, школьные друзья, детские друзья. К родне не тянется, отмечает изменения в паттернах привязанности.","Мне очень важно общение. Я без него плохо себя чувствую. Очень плохо. Хотя, несмотря на то, что я люблю отдыхать один, мне общение важно.","признательность, спокойствие","принадлежность, поддержка, дружба","Группы взаимопомощи становятся ключевым источником поддержки для людей, проходящих через реабилитацию. Снижение значимости родственных связей может быть связано с травматическим опытом.",декларация,,,,True,
11,Детство и подростковый возраст,Семейные конфликты и отношения с родственниками,"Основные конфликты в семье были связаны с ревностью к младшему брату и отсутствием поддержки в спорте. Отношения с отцом и сестрой были нейтральными или отстраненными, с мамой — сложными из-за ее психоэмоционального состояния.","Внутри семьи основная масса конфликтов была из-за того, что я ревновал моего младшего брата к моей маме... И у меня не было поддержки от родителей, от семьи. Они боялись, что меня забьют все время.","обида, грусть, принятие","справедливость, признание, поддержка",Семейные конфликты и отсутствие поддержки в детстве часто формируют паттерны поведения и отношения к близким во взрослом возрасте.,эпизод,,,,True,
12,Подростковый возраст и взрослая жизнь,Отношение к семейным традициям,"Респондент не придает значения семейным традициям, в подростковом возрасте даже провоцировал конфликты на праздниках. Сейчас участвует в семейных встречах из уважения, но без удовольствия.","У меня нет такого, что я из уважения к семье. раньше, чтобы вы понимали, я когда был подростком, я в эти праздники все изводил всю свою семью.","равнодушие, раздражение (в прошлом)","индивидуализм, честность",Отстраненность от семейных традиций может быть следствием конфликтного опыта и стремления к самостоятельности.,декларация,,,,True,
13,"Взрослая жизнь, последние годы",Личная жизнь и отношения,"Респондент тяжело переживал отсутствие отношений, особенно в первые годы трезвости. Получал много отказов, но со временем научился спокойнее относиться к этому и продолжает попытки завести отношения.","Я очень много отказов получал. Очень-очень много отказов получил за последние несколько лет. И в какой-то момент... в какую-то апатию впал, даже про выпивку начал думать. Вот, а потом как-то опять, видите, кризис прожил этот, и потом, как бы, думаю, да ладно, типа, ну, бывает.","фрустрация, принятие, надежда","саморазвитие, принятие себя, настойчивость",Проблемы в личной жизни часто обостряются на фоне реабилитации и поиска новой идентичности. Постепенное принятие себя и ситуации — важный этап взросления.,перелом,,,,True,
14,"Взрослая жизнь, настоящее",Отношение к детям и страхи родительства,"Респондент хорошо относится к детям, но боится передать им свои психологические проблемы и финансовую нестабильность. Считает, что бедность и экономия негативно влияют на психику ребенка.","Я боюсь что он проживать такую же боль как и я плюс есть финансовые страхи потому что я раньше думал что два ребенка это нормально как бы А я сейчас понимаю, что по двум детей я приблизительно накинул, сколько зарабатывают.","тревога, страх, рациональность","ответственность, забота о будущем, финансовая стабильность",Страхи родительства часто связаны с опытом собственной семьи и экономическими ограничениями. Осознанность этих страхов свидетельствует о зрелости и рефлексии.,декларация,,0.0,низкая,True,
1,"Взрослая жизнь, текущее состояние",Типы дружбы и отношения с друзьями,"Респондент различает несколько типов друзей: одни — для взаимопомощи и поддержки, другие — для совместного времяпрепровождения и развлечений. Оба типа для него одинаково дороги, но функции и ожидания от них разные.","Есть друзья, которым я могу обратиться за помощью... Есть друзья, с которыми я могу просто встретиться и много посмеяться... Я никогда в жизни не обращаюсь к ним за помощью.","спокойствие, принятие, некоторая рефлексия","дружба, поддержка, честность, эмоциональная близость",Респондент демонстрирует развитую рефлексию по поводу структуры своего социального окружения и осознанно разделяет друзей по функциям. Это свидетельствует о зрелом подходе к социальным связям и понимании личных границ.,декларация,,,,True,
2,"Взрослая жизнь, период восстановления",Конфликты с друзьями и их причины,"Респондент сталкивался с конфликтами из-за недостатка внимания со стороны друзей, особенно в период, когда ему была нужна поддержка. Также бывают бытовые и ситуативные конфликты, которые обычно решаются обсуждением.","У меня были конфликты из-за того, что он девушкам больше времени, чем мне, уделял. Но я на тот момент выздоравливал, и для меня момент внимания человеческого был очень важен.","обида, уязвимость, некоторая грусть","внимание, поддержка, честность, открытость","Важность человеческого внимания и поддержки особенно возрастает в периоды уязвимости (например, во время восстановления после болезни или кризиса). Конфликты в дружбе часто связаны с неудовлетворёнными эмоциональными потребностями.",эпизод,,,,True,
3,"Взрослая жизнь, текущее состояние",Внутренние ощущения и самооценка в отношениях,"Несмотря на наличие близких людей, респондент иногда испытывает внутреннее ощущение ненужности и недоверия, хотя объективно окружён людьми.","Да, но часто бывает, что какое-то внутреннее состояние говорит, что этого нет. Но это внутренние ощущения. у меня ощущение, что я никому не верю.","тревога, неуверенность, одиночество","саморефлексия, честность с собой",Внутренние переживания могут не совпадать с объективной социальной ситуацией. Это характерно для людей с повышенной рефлексией и/или переживших кризисы.,декларация,,,,True,
4,"Взрослая жизнь, текущее состояние",Формирование круга общения,"Круг общения складывается стихийно, исходя из потребностей и ценностей. Респондент отмечает, что общество часто выбирает человека, а не наоборот, и что фильтры отбора связаны с интересами, ценностями и материальным положением.","Я обратил внимание, что я есть то общество, к которому я дохожу. И в первую очередь, знаете, сначала общество меня выбирает, а не я общество.","рефлексия, принятие, философское отношение","искренность, интерес, ценности, самопринятие","Респондент осознаёт социальные механизмы отбора и интеграции в группы, отмечает роль интересов и материального положения в формировании круга общения.",декларация,,,,True,
5,"Взрослая жизнь, текущее состояние",Здоровье: текущее состояние и ограничения,"Респондент доволен своим психическим здоровьем, но страдает от артроза стоп, что ограничивает его физическую активность и влияет на выбор работы.","У меня беспокоит артроз, у меня спортивный артроз. На стопах. Сегодня у меня прям сильно ноги болят. Но я привык к этому.","принятие, некоторая тревога, адаптация","здоровье, адаптация, самостоятельность","Хронические заболевания могут существенно влиять на образ жизни, трудовую занятость и самоощущение человека.",узел,,,ограничена из-за состояния здоровья,True,
6,"Взрослая жизнь, текущее состояние",Пищевые привычки и образ жизни,"Питание респондента несбалансированное, присутствует склонность к вредной пище. Были попытки изменить рацион, но они не увенчались успехом.",Сейчас несбалансированное питание. Я набрал 10 килограмм. В последнее время пристрастился к базировкам и сладким.,"разочарование, усталость, принятие","здоровье, самоконтроль",Пищевые привычки часто связаны с эмоциональным состоянием и образом жизни. Попытки изменить рацион могут быть неуспешными без внутренней мотивации и поддержки.,эпизод,,,,True,
7,"Детство, взросление",Отношение к медицине: опыт детства и влияние семьи,"В детстве респондент сталкивался с гомеопатией по инициативе матери, что оставило негативные воспоминания. Предпочитает доказательную медицину.","У меня мама любит гемоопатию. И у меня очень неприятные воспоминания из детства про это. Когда у меня температура 40, я трясусь буквально в припадке, мне дают шарики, и оно не проходит...","раздражение, недоверие, благодарность к современной медицине","рациональность, эффективность, здоровье","Семейные практики обращения к альтернативной медицине могут формировать у детей устойчивое неприятие или, наоборот, доверие к определённым медицинским подходам.",перелом,"семья, медицина",,,True,
8,"Взрослая жизнь, текущее состояние",Оценка российской медицины и отношение к платным услугам,"Респондент считает, что в государственной медицине нет заботы о пациентах, предпочитает платные клиники из-за лучшего сервиса, несмотря на высокую стоимость.","Если брать именно социальную медицину от государства, то там, если честно, заботы и не пахло... Лучше, конечно, заплатить, со мной нормально будут обращаться...","разочарование, прагматизм","качество, уважение, сервис","Недоверие к государственной медицине и ориентация на платные услуги характерны для части городского населения, имеющего негативный опыт обращения в государственные учреждения.",декларация,государственная и частная медицина,,,True,
9,"Взрослая жизнь, текущее состояние",Отношение к вакцинации и медицинским страховым инструментам,"Респондент в целом поддерживает вакцинацию, но испытывает недоверие к качеству вакцин, особенно в государственных учреждениях. Не уверен в наличии медицинской страховки.","Есть такое ощущение, что туда какую-то дрянь пихают... Может, у меня она есть.","сомнение, осторожность","безопасность, информированность","Недоверие к качеству медицинских услуг и инструментов (вакцины, страховка) отражает общий тренд на критическое отношение к государственным институтам.",декларация,"государственная медицина, страхование",,,True,
10,"Взрослая жизнь, текущее состояние",Финансовые аспекты медицинских услуг,"Респондент считает стоимость платных медицинских услуг в целом адекватной, но отмечает высокие цены на отдельные процедуры (например, томограммы). Кредитов на медицину не брал.","Мне не нравится стоимость томограмм. очень дорогие. Я нашел через знакомых на момент трех лет назад, гадинг на стоп и там 4000 рублей.","раздражение, прагматизм","доступность, экономия","Высокая стоимость отдельных медицинских услуг может ограничивать доступ к качественной медицине даже для тех, кто готов платить за сервис.",эпизод,,,ограничена из-за стоимости услуг,True,
