id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
11,Детство,Межнациональные отношения в детстве,"Несмотря на наличие этнических стереотипов и обзывательств, в детстве респондентка и её окружение общались со всеми национальностями, не придавая этому большого значения.","Хотя несмотря на то, что марийцы были коренными, коренным населением, вот это вот обзывательство, типа «она же Марийка» или «он же Мариец», это было вот прям «да фу, ты чё как Мариец?» Это даже было вот такое оскорбительное сравнение. Но на это как-то вот, ну... Не обижались.","нейтральность, принятие","толерантность, открытость","В советских и постсоветских малых городах бытовали этнические стереотипы, но они не всегда приводили к сегрегации, а скорее служили частью локального фольклора.",эпизод,,,,True
1,Детство,Семейное воспитание и атмосфера детства,"Респондентка вспоминает детство как время, когда, несмотря на материальные трудности, мама учила искать хорошее в любой ситуации. Воспоминания наполнены играми на улице, общением с ровесниками и отсутствием потребительского отношения между детьми.","Ну, потому что еще нас так мама воспитывала, что нужно искать прекрасное, интересное, доброе в том, что есть сейчас.","Теплота, благодарность, ностальгия","Оптимизм, доброта, искренность, равенство",Воспитание в условиях дефицита и скромного быта формировало у детей советского и постсоветского времени умение радоваться малому и ценить человеческие отношения выше материальных благ.,эпизод,семья,0.0,0.0,
2,Детство и подростковый возраст,Взаимоотношения с сестрой,"Респондентка отмечает, что младшая сестра была частью её компании, быстро училась у старшей, перенимая как хорошие, так и плохие черты.","Да, она была в моей компании, да, поэтому быстро всему научилась. И хорошему, и плохому тоже, да.","Лёгкая ирония, теплота","Семейственность, ответственность","В малых населённых пунктах разница в возрасте между детьми часто нивелируется общей социальной средой, что способствует формированию тесных семейных связей.",эпизод,семья,0.0,0.0,
3,Школьные годы,Травля в школе и формирование характера,"Респондентка рассказывает о периоде травли в школе, который стал для неё испытанием и одновременно закалил характер, научил полагаться на себя и идти к цели несмотря на трудности.","Я считаю, что вот этот вот период, когда меня травили в школе, и мне приходилось сопротивляться, я считаю, что это заложило вот то зерно, которое у меня есть сейчас, то есть такой сильный характер и... желание идти к цели.","Гордость, рефлексия, некоторая горечь","Самостоятельность, целеустремлённость, стойкость","Опыт травли в детстве часто становится переломным моментом, влияющим на личностное развитие и стратегии преодоления трудностей во взрослой жизни.",перелом,школа,0.0,0.0,
4,Подростковый возраст,Желание уехать из посёлка,"С 13 лет у респондентки возникло стойкое желание покинуть родной посёлок из-за ощущения застоя, однообразия и стремления к новым эмоциям и возможностям.",Одним из моих величайших желаний было оттуда уехать. Это было вот прям вот уехать.,"Стремление, неудовлетворённость, решимость","Жажда перемен, самостоятельность, эмоциональность",Для молодёжи из малых населённых пунктов характерно стремление к миграции в поисках новых возможностей и самореализации.,декларация,"семья, поселок",0.0,0.0,
5,Поступление в училище и начало профессионального пути,Выбор профессии и первые шаги в образовании,"Респондентка отказалась идти в местное педучилище, выбрала фармацевтическое училище в Казани, несмотря на трудности с поступлением и необходимостью подтягивать математику. Мотивация была связана с желанием уехать и самостоятельностью.","Нет, мне так не надо было. Поэтому, ну, с учетом того, что я поступила в 92-м, В самые вот эти сложные 90-е годы, конечно, вот это была нехватка денег, нехватка элементарной еды.","Решимость, мотивация, напряжённость","Самостоятельность, трудолюбие, стремление к развитию","Выбор профессии часто определяется не только интересами, но и возможностями миграции, а также социальным капиталом (знакомства, поддержка семьи).",узел,"фармучилище, семья",0.0,0.0,
6,Ранний профессиональный опыт,Работа в аптеке и попытки поступления в институт,"После окончания училища респондентка два года работала в аптеке в родном посёлке, параллельно пытаясь поступить в институт. В итоге поступила на очное отделение, а затем перевелась на заочное и снова работала.","Я работала заместителем заведующей аптеки в той аптеке, в которой я уже до этого работала.","Упорство, некоторая усталость, удовлетворение","Профессионализм, настойчивость, самостоятельность",В малых городах и посёлках профессиональная траектория часто строится вокруг ограниченного числа доступных учреждений и через социальные связи.,эпизод,"аптека, институт",0.0,1.0,
7,Профессиональное самоопределение,Случайность выбора профессии и отношение к обучению,"Респондентка отмечает, что выбор профессии был во многом случайным, связанным с наличием вакансии и знакомой заведующей. Учёба давалась легко, интерес к фармацевтике появился позже.","Выбор профессии – это чисто такое вот, ну, случайное совпадение, да.","Спокойствие, принятие","Гибкость, ответственность, адаптивность",В условиях ограниченного выбора и слабой профориентации молодёжь часто выбирает профессию по принципу доступности и наличия социальных связей.,декларация,"аптека, училище",0.0,1.0,
8,"Молодость, окончание учёбы",Знакомство с будущим мужем и переезд,"В институте респондентка познакомилась с будущим мужем, после окончания учёбы вышла замуж и переехала в Липецк, где начала работать в аптеке по специальности.","Мы знакомились в институте, он тоже учился на провизора, мы учились в одной группе. И получилось так, что мы разъехались после института, а потом как-то так созвонились, встретились и потом поженились.","Тёплые воспоминания, удовлетворение","Семья, профессиональная идентичность","Профессиональная и личная траектории часто переплетаются, а брак становится поводом для миграции и смены места жительства.",узел,"институт, семья",1.0,1.0,
9,Начало семейной жизни и профессиональной карьеры в новом городе,Работа в аптеке в Липецке и адаптация,"После переезда в Липецк респондентка начала работать рядовым провизором, затем стала заместителем заведующей. В адаптации помогла свекровь, работавшая фармацевтом.","Рядовым провизором я пошла, рядовым провизором. И когда уже уходила на другую, так сказать, стезю, я доработалась снова до заместителя заведующей.","Удовлетворение, благодарность, некоторая гордость","Профессионализм, семейная поддержка","В новых городах социальный капитал (родственники, знакомые) играет ключевую роль в трудоустройстве и адаптации.",эпизод,"аптека, семья",1.0,1.0,
10,"Зрелость, профессиональная карьера",Сокращения и стратегия профессионального выживания,"Респондентка четыре раза сталкивалась с сокращениями в фармбизнесе, но всегда заранее искала новую работу, не дожидаясь официального увольнения, учитывая ответственность за сына.","Я никогда не ждала, когда меня сократят. Я находила вакансию, я ходила на собеседование, я увольнялась сама, переходя на другую позицию.","Решимость, стрессоустойчивость, прагматизм","Ответственность, самостоятельность, забота о семье",Женщины с детьми в малых и средних городах вынуждены проявлять высокую мобильность и проактивность на рынке труда из-за нестабильности занятости.,эпизод,фармацевтические компании,1.0,1.0,
11,"Зрелость, профессиональная рефлексия",Отношение к работе и профессиональные ценности,"Респондентка отмечает, что всегда старается находить положительные стороны даже в сложных ситуациях на работе, чему научилась благодаря воспитанию, жизненному опыту и тренингам.",Я всегда пытаюсь найти положительное зерно даже из не очень красивых ситуаций.,"Оптимизм, зрелость, спокойствие","Позитивное мышление, устойчивость, саморазвитие",Современные профессионалы в сфере продаж и фармбизнеса вынуждены развивать психологическую устойчивость и навыки саморегуляции.,декларация,фармацевтические компании,1.0,1.0,
12,"Зрелость, адаптация в новом городе",Культурные различия и трудности адаптации,"Респондентка долго не могла привыкнуть к хамству и неуважительному отношению в Липецке, отмечая разницу с Казанью и Мариэл, где люди были более уважительными и доброжелательными.","Я очень долго не могла привыкнуть к хамству, к какому-то потребительскому к тебе отношению, к какому-то пренебрежению, к мату на улице.","Раздражение, непонимание, грусть","Уважение, доброжелательность, воспитанность",Миграция между регионами России часто сопровождается культурным шоком и необходимостью адаптации к новым социальным нормам.,эпизод,"город, аптека",1.0,1.0,
13,"Зрелость, профессиональное становление",Влияние руководителя на профессиональное развитие,"Работа под руководством строгой, но справедливой заведующей стала для респондентки испытанием, но дала ценный опыт и знания. Впоследствии отношения переросли в дружбу.","Она могла обидеть очень сильно. А сейчас мы очень дружим, я могу к ним приехать в аптеку, мы с ней по два обо всем, просто обо всем.","Благодарность, уважение, ретроспективная теплота","Профессионализм, уважение к опыту, умение учиться у других",Влияние авторитетных наставников и руководителей часто становится ключевым фактором профессионального становления и формирования устойчивых профессиональных ценностей.,узел,аптека,1.0,1.0,
1,Ранняя трудовая деятельность (аптека),Профессионализм и инициативность на работе,"Респондентка рассказывает о своем трудолюбии, готовности брать на себя дополнительные обязанности и стремлении улучшать рабочие процессы. Она самостоятельно разработала многозадачную таблицу, которая была внедрена во всех аптеках.","Я никогда не говорила, что это не моё, что это в мои обязанности не входит, что я не буду... Я никогда этого не говорила.","Гордость, удовлетворение","Трудолюбие, инициативность, ответственность, стремление к качеству","Демонстрируется высокая трудовая этика и ориентация на коллективный результат, что типично для работников советской и постсоветской школы. Инициативность и рационализация труда — проявление профессиональной субъектности.",эпизод,аптека,,наемный работник,
2,Переход в фармбизнес,Сложности и адаптация в новой профессиональной сфере,Переход в фармацевтический бизнес сопровождался сложностями из-за большого объема информации и разнообразия клиентов. Частая смена руководителей закалила психику респондентки.,"У меня вообще пять компаний и десять руководителей, представляете? Я приду, сработаю с руководителями, и опять новый руководитель приходит.","Усталость, стресс, закалённость","Стойкость, адаптивность, профессионализм","Переход в более динамичную и стрессовую сферу труда, где требуется высокая гибкость и эмоциональная устойчивость. Частая смена руководства — признак нестабильности рынка труда.",узел,фармацевтические компании,,наемный работник,
3,Юность и ранняя молодость (малый город),Ограничения личной жизни в малом населенном пункте,Жизнь в маленьком поселке и статус дочери главы администрации ограничивали возможности для личной жизни. Отношения строились скорее из необходимости соответствовать окружению.,"Я даже не знаю, как это назвать, даже ни одного молодого человека не рассматривала серьезно никогда именно из своего населенного пункта...","Сдержанность, легкая фрустрация","Конформизм, семейные ожидания, социальная адаптация",Влияние социального статуса семьи и малых сообществ на формирование личной жизни. Социальный контроль и давление со стороны окружения.,эпизод,"семья, малое сообщество",0.0,,
4,Студенчество,Учёба и отсутствие романтических отношений,"Во время учёбы в училище и общежитии романтические отношения не складывались — строгий режим, возраст, отсутствие интереса к отношениям.","В 10 общага закрывается. Там как-то о мальчиках даже не думали. И в 15 лет, там 16, нас даже не было. Мы в догонялки играли.","Ностальгия, лёгкая ирония","Невинность, учеба, дружба","Показывает особенности социализации в образовательных учреждениях, где контроль и возрастные особенности ограничивают романтические связи.",эпизод,"училище, общежитие",,,
5,"Молодость, студенческие годы (Казань)",Первые серьёзные отношения вне родного города,Первые отношения с молодыми людьми других национальностей во время учёбы в Казани. Внутренние ограничения по поводу брака с представителями других национальностей.,"Я знала, что я не смогу выйти могу, конечно, но моим родителям я так думала, не знаю, как они думали, но я думала, что не надо выходить не за русского.","Рефлексия, осторожность","Семейные традиции, этническая идентичность","Внутрисемейные и культурные установки оказывают влияние на выбор партнёра, даже при отсутствии явного давления со стороны родителей.",узел,вуз,,студент,
6,"Взросление, начало самостоятельной жизни",Знакомство и брак с будущим мужем,"Знакомство с будущим мужем, переезд в Липецк, брак по инициативе свекрови. Быстрое принятие решения о браке и рождении сына.","Во всем виновата свекровь. Это на первое впечатление, что нам надо жениться.","Ирония, благодарность","Семья, ответственность, адаптация","Роль старшего поколения (свекрови) в формировании семейных решений. Быстрый переход к браку и материнству — типичная стратегия для женщин, ориентированных на семью.",узел,семья мужа,1.0,,
7,"Семейная жизнь, материнство",Отношения со свекровью и роль поддержки,Свекровь стала для респондентки опорой и заменой семьи в новом городе. Благодаря её поддержке удалось адаптироваться и воспитывать сына.,"Она мне на этой конкретной территории Липецка, она мне прям как мать. Прям мать моя, ее мама звала.","Благодарность, тепло","Семейственность, поддержка, благодарность",Важность расширенной семьи и поддержки в миграции и адаптации. Свекровь выполняет функцию интегратора и опоры.,эпизод,семья мужа,,,
8,"Семейная жизнь, зрелость",Разрывы отношений и личные границы,"Респондентка всегда сама принимала решение о разрыве отношений, легко их переживала, но до этого долго терпела и подстраивалась.","Вот у тебя характер, типа закрыла дверь, но и все, ну как отрезала. Но до этого момента, пока ты закроешь дверь, то тебя можно гнуть очень долго, ты будешь гнуться, подстраиваться, терпеть.","Уверенность, решимость","Самостоятельность, личные границы, терпимость","Формирование устойчивых личных границ и самостоятельности в принятии решений — черта зрелой личности, особенно у женщин, прошедших через семейные и профессиональные испытания.",декларация,,,,
9,Переход к самостоятельности (после развода),Финансовая самостоятельность и смена работы,"После осознания отсутствия поддержки со стороны мужа респондентка делает ставку на самостоятельность, меняет стабильную работу на более доходную, несмотря на ухудшение условий труда.","Я уже очень быстро поняла, что никто мне ничего не даст, если я не возьму это себе сама.","Решимость, прагматизм","Самостоятельность, материальное благополучие, ответственность за семью","Переход к самостоятельному обеспечению семьи — типичный сценарий для женщин, столкнувшихся с неравномерным распределением семейных ролей.",перелом,,,смена работы ради дохода,
10,Материнство,Рождение и воспитание сына,Рождение сына стало главным событием жизни. Имя выбиралось с учетом семейных традиций и церковного календаря. Материнство — высшая ценность.,"Он всегда это самое лучшее, что сделал в своей жизни, самое светлое.","Любовь, гордость","Материнство, забота, семейные традиции",Материнство как ключевая идентичность женщины. Влияние семейных и религиозных традиций на выбор имени и воспитание.,эпизод,,,,
11,"Материнство, поддержка семьи",Роль свекрови в сохранении брака,"Свекровь была ключевым фактором сохранения брака. После её смерти респондентка решилась на развод, осознав, что жила больше ради других.","Если бы не свекровь, я бы развелась давным-давно, я честно говорю.","Благодарность, рефлексия, лёгкая грусть","Благодарность, долг, самопожертвование",Влияние старшего поколения на сохранение семьи. Женская жертвенность и долг перед семьёй как фактор отсрочки развода.,перелом,,,,
12,Развод и новая семейная динамика,Развод и влияние на ребёнка,"Развод произошёл, когда сыну было 13 лет. Несмотря на опасения, сын воспринял развод спокойно, отметив, что теперь у него есть отдельно папа и нормальная мама.","Мамка, хорошо, что вы развелись, у меня есть отдельно папа и нормальная мама.","Облегчение, благодарность","Забота о ребёнке, честность, открытость",Современные установки на благополучие ребёнка важнее сохранения формальной семьи. Переосмысление традиционных семейных ролей.,узел,,,,
13,Постразводный период,Жилищные условия после развода,"После развода респондентка жила с мамой, бабушкой и сыном в одной квартире, что повлияло на выбор сына временно жить у отца. Позже они переехали в отдельное жильё.","Пока я не купила себе квартиру, он чаще жил у отца своего в силу того, что там квартира была 100 квадратов.","Беспокойство, облегчение после решения","Забота о ребёнке, стремление к лучшим условиям",Жилищный вопрос как ключевой фактор семейной динамики после развода. Влияние материального положения на распределение ролей и проживания детей.,эпизод,,0.0,,
1,"Постразводный период, зрелый возраст",Отношения после развода и личные границы,"После развода респондентка имела несколько отношений, но в последнее время предпочитает одиночество и зону комфорта. Она осознала, что не готова подстраиваться под партнёра и ценит свою самодостаточность.","У меня сейчас такая зона комфорта, из которой я не хочу выходить... я самодостаточная личность, то есть я сама себя сделала.","Уверенность, спокойствие, лёгкая усталость","Самодостаточность, личные границы, независимость, комфорт","Респондентка демонстрирует типичную для современных городских женщин стратегию ухода в индивидуализм после неудачных отношений, что связано с ростом ценности личных границ и самореализации.",декларация,,0.0,,
2,"Зрелый возраст, рефлексия о партнёрстве",Требования к партнёру и статус,"Респондентка рассуждает о критериях выбора партнёра: для неё важны статус, уровень образования, финансовая самостоятельность и возможность интеллектуального обмена. Она не готова быть с человеком, который не соответствует этим требованиям.","Мне нужен человек, который будет... знал больше меня, чтобы у меня была беседа, из которой я узнаю что-то ещё.","Требовательность, рациональность, лёгкая ирония","Статус, образование, интеллектуальное развитие, равноправие","Высокие требования к партнёру отражают изменение гендерных ролей и рост образовательного и профессионального уровня женщин, а также их нежелание идти на компромиссы в ущерб себе.",декларация,,,Ожидание равного или более высокого социального и экономического статуса от партнёра,
3,"Молодость и зрелость, формирование личности",Влияние общественного мнения и уроки честности,"Респондентка рассказывает, как в молодости подстраивалась под других ради одобрения и статуса, а позже научилась ценить честность и открытость, чему её научила младшая подруга.","Я в силу того, что я из маленького поселка, мне все время хотелось оказаться лучше, интереснее. И это очень сильно наложило отпечаток на личную жизнь...","Рефлексия, благодарность, лёгкая грусть","Честность, самоуважение, независимость от общественного мнения",История иллюстрирует влияние социальных ожиданий на женское поведение и постепенный переход к индивидуализму и аутентичности.,узел,"Дружба, неформальные нормы",,,
4,Постразводный период,Опыт неудачных отношений и переосмысление статуса,"После развода респондентка искала новые отношения, в том числе через сайты знакомств, но столкнулась с разочарованием и абьюзивными партнёрами. Со временем она осознала, что её мотивировало желание сохранить статус, а не настоящие чувства.","Я очень долго потерпела потому что мне нужен был статус... А потом така утром встала и така думаю, вот если его не будет в твоей жизни, вот прям вот сегодня его не будет, что изменится?","Разочарование, освобождение, самоирония","Самоуважение, независимость, честность с собой","Показателен переход от внешней мотивации (статус, общественное мнение) к внутренней (самоуважение, комфорт), что характерно для зрелых женщин с опытом развода.",перелом,,,"Использование сайтов знакомств, поиск статуса через отношения",
5,"Зрелый возраст, профессиональная и личная рефлексия",Открытость и честность в публичном рассказе,"Респондентка подчёркивает, что делится своим опытом честно и открыто, не приукрашивая свою жизнь, считая это важным для пользы других.","Я же не пришла рассказывать вам сказки, какая чудесная, прекрасная, как хорошо я жила.","Открытость, искренность","Честность, польза для других, аутентичность","Демонстрирует установку на честное публичное высказывание, что может быть связано с ростом доверия к аутентичным нарративам в обществе.",декларация,,,,
6,"Молодость и зрелость, мобильность",Переезды и социальные связи,"Респондентка легко меняла место жительства, считая это способом обновления и получения новых эмоций. Со временем её отношение к дружбе изменилось: теперь она ценит качество, а не количество связей.","Когда я там была помоложе, я, да, вот эта вот смена мест, вот это вот давайте погнали куда-нибудь там, что-то интересное...","Лёгкость, ностальгия, зрелость","Открытость новому, гибкость, избирательность в отношениях","Переезды и смена окружения — черта мобильных, адаптивных людей; с возрастом происходит переоценка социальных связей в сторону глубины и доверия.",эпизод,"Миграция, дружба",,,
7,Зрелый возраст,Разрыв с потребительскими друзьями,"Респондентка прекратила общение с тремя людьми, которые начали вести себя потребительски из-за разницы в доходах. Она подчёркивает важность взаимности и уважения в дружбе.","Я их просто удалила из своей жизни по той простой причине, что они начали потребительски ко мне... обращаться.","Разочарование, твёрдость","Взаимность, уважение, финансовая независимость",Вопросы финансовой справедливости и границ в дружбе становятся актуальными при росте экономического неравенства даже в близких отношениях.,эпизод,,,Различие в доходах как фактор разрыва социальных связей,
8,"Зрелый возраст, профессиональная деятельность",Преодоление страхов через профессиональные вызовы,"Респондентка преодолела страх воды, приняв участие в командном тимбилдинге на лодках, несмотря на сильный внутренний страх.","Я очень сильно боюсь воды. Я не умею плавать, я боюсь воды... Но я пошла наперекор себе, и я решила, что вот эту страничку я тоже должна перешагнуть.","Страх, решимость, гордость","Преодоление себя, профессионализм, командная работа",Преодоление личных страхов в профессиональной среде иллюстрирует современные требования к гибкости и саморазвитию.,эпизод,"Работа, корпоративная культура",,,
1,Период работы в компании до смены руководителя,Профессиональные достижения и смена руководства,"Респондентка описывает успешную работу в компании, где она была лидером по продажам, но после смены руководителя столкнулась с конфликтом и предательством.","Я по пяти позициям была первая в стране... Я реально считала себя хорошим работником. Хорошим, ценным работником.","Гордость, уверенность, затем разочарование и страх","Профессионализм, лояльность, справедливость, ответственность","Демонстрируется типичная ситуация для российского рынка труда: высокая зависимость от руководства, отсутствие защищённости работника, несмотря на заслуги. Важна тема финансовых обязательств (ипотека, кредиты), что усиливает уязвимость.",эпизод,компания (работодатель),0.0,True,
2,Потеря работы и поиск новой,Конфликт с руководителем и вынужденное увольнение,"После отказа отвечать на домогательства нового руководителя респондентка была подставлена и вынуждена уйти с работы, что вызвало сильный страх из-за финансовых обязательств.","Я не ответила на его какие-то потуги в плане посягательств... он меня подставил. И у меня был выход уходить. Я вообще такого даже не ожидала, такого подставы.","Страх, стресс, растерянность, затем облегчение","Достоинство, независимость, честность","Ситуация харассмента и злоупотребления властью на рабочем месте, типичная для патриархальных структур. Финансовая зависимость усиливает стресс и ограничивает свободу выбора.",перелом,компания (работодатель),0.0,True,
3,Переход к новой работе,Поиск и нахождение новой работы,"Несмотря на стресс и страх, респондентка быстро нашла новую работу, которая оказалась лучше предыдущей по всем параметрам.","Я достаточно быстро нашла работу, слава богу, эта работа оказалась лучше, чем предыдущая, и морально, и материально, и всё остальное.","Облегчение, благодарность, удовлетворение","Самостоятельность, адаптивность, оптимизм","Показатель женской мобильности и способности к адаптации на рынке труда, несмотря на неблагоприятные обстоятельства.",узел,новая компания (работодатель),0.0,True,
4,"Взрослая жизнь, отношения с родителями",Семейные отношения и разочарование в отце,"Респондентка рассказывает о сильном эмоциональном кризисе, связанном с отказом отца переезжать ближе к семье после выхода на пенсию, что разрушило её представление о нём.","В тот момент я понимала, что мой отец упал с пьедестала. Вот эта вся моя архитектура жизни, она просто вот так вот рассыпалась.","Шок, разочарование, чувство вины","Семейственность, доверие, забота","Семейные сценарии и ожидания от родителей, столкновение идеализированного образа с реальностью. Важна тема женской ответственности за родителей.",перелом,семья,1.0,False,
5,Переосмысление ответственности,Освобождение от чувства вины и личные границы,"После разговора с подругой респондентка осознала, что не несёт ответственности за решения взрослого отца, и перестала испытывать чувство вины.","Я вообще не несу никакой ответственности за него. И у меня сейчас вообще даже в голове нигде не ёкает, что я за кого-то, кроме мамы и своего сына, несу ответственность.","Освобождение, облегчение, принятие","Личные границы, самостоятельность, зрелость","Переход к зрелой субъектности, формирование личных границ, типичный для женщин среднего возраста, особенно в контексте ухода за пожилыми родителями.",узел,семья,0.0,False,
6,Настоящее время,Стратегии совладания со стрессом,"Респондентка описывает свои способы реагирования на стресс: эмоциональные разговоры, самоедство, умение признавать ошибки и извиняться.","Я могу себе съесть за что-нибудь, за какой-то поступок или за какую-то поведенческую ситуацию. Ещё я могу грызть себя до бесконечности.","Самокритика, рефлексия, принятие","Честность с собой, эмоциональная открытость, ответственность за свои поступки","Формирование зрелых копинг-стратегий, умение признавать ошибки и работать с эмоциями — важная черта для женщин, совмещающих работу и заботу о семье.",декларация,,0.0,False,
