id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
5,"Настоящее, повседневная жизнь",Распорядок дня и отношение к дому,"Респондентка рано встает, работает в офисе или онлайн, редко бывает дома из-за работы и некомфортной обстановки (кошки, бабушка мужа). Дом воспринимается скорее как место для сна.","Я почти ими не занимаюсь. Я готовлю просто иногда. А так у меня там не бывает практически в доме, где я живу, я там только сплю.","отстраненность, легкое раздражение","самостоятельность, личное пространство, профессионализм","Совмещение нескольких ролей (работник, жена, сожитель с родственниками) приводит к размытию границ между домом и работой. Дом перестает быть центром жизни.",узел,"семья, рынок труда",True,,
6,"Настоящее, семейная жизнь",Отношения с супругом и совместное время,"Супруг работает в такси по ночам, из-за чего мало времени проводят вместе. Респондентка спокойно относится к одиночеству, супруг предпочитает отдыхать за компьютером.","Он работает, у него ночной график. Очень часто у него ночные смены, потому что он в такси работает, а в такси больше наездишь ночью.","спокойствие, принятие","независимость, уважение личного пространства","Современные семейные отношения часто строятся на уважении к личному времени и пространству, особенно при нестандартных графиках работы.",эпизод,"семья, рынок труда",,,
7,"Настоящее, профессиональная самореализация",Контроль над рабочим графиком и удовлетворение от работы,"Респондентка самостоятельно выстраивает рабочий график, получает удовольствие от преподавания и ценит признание со стороны учеников и родителей.","Я радуюсь, когда вам успехи. Приятно, когда дети там говорят спасибо.","удовлетворение, радость","самореализация, признание, помощь другим",Профессиональная самореализация и контроль над графиком — важные элементы удовлетворенности трудом в сфере услуг и образования.,декларация,рынок труда,,,
8,"Настоящее, досуг и саморазвитие","Хобби, спорт и чтение","Респондентка занимается йогой, ходит в спортзал, любит танцевать, иногда читает журналы и книги, участвует в онлайн-клубе по чтению.","Я люблю в тренажерку ходить, там на танцы очень классные, я снимаю свои видео, как я танцую там.","энтузиазм, радость","здоровье, саморазвитие, творчество","Досуг становится пространством для самовыражения и поддержания психоэмоционального баланса, особенно для женщин с насыщенным рабочим графиком.",эпизод,,,True,
9,"Настоящее, потребительское поведение",Выбор спортклуба и финансовые ограничения,"Респондентка вынуждена искать новый спортзал из-за высокой стоимости абонемента, ждет открытия нового клуба с помесячной оплатой.","Жалко, что у меня скоро абонемент закончится в спортзале, что он дороговат. Я не уверена, что я смогу позволить себе еще туда ходить.","ожидание, легкая тревога","рациональность, забота о себе",Финансовые ограничения влияют на выбор досуговых практик и формируют потребительское поведение даже у людей с устойчивыми привычками.,узел,,,True,
10,"Настоящее, культурные предпочтения","Музыка, кино и сериалы","Респондентка предпочитает слушать рэп и R&B, любит фильмы со смыслом, иногда смотрит детективы и сериалы, но не увлекается телевизором.","Музыка Iron рэп. B, Вот Рианну, Йонс, фильмы. Мне нравился фильм детектива, детектив Насонов.","нейтральность, легкая увлеченность","осознанность, индивидуальность",Культурные предпочтения отражают стремление к индивидуальности и осознанному выбору досуга.,декларация,,,,
1,"Взрослая жизнь, после переезда в Россию",Культурный досуг и предпочтения,"Респондентка рассказывает о своем отношении к культурному досугу: театры, концерты, музеи. Раньше посещала концерты, сейчас — редко, из-за занятости и несовпадения графиков.","Раньше, когда я ходила на концерта сейчас уже давно не было, не знаю. Даже. И в театре-то давно не было.","Легкая грусть, ностальгия","Разнообразие досуга, культурное развитие, воспоминания о прошлом",Изменение жизненного ритма и занятость влияют на культурные практики. Для респондента культурный досуг не является приоритетом в текущем этапе жизни.,эпизод,,,,
2,Взрослая жизнь,Отдых на природе и отношение к экологии,"Респондентка предпочитает отдых на природе, любит дачу, велосипед, пробовала рыбалку. Экологические вопросы волнуют, но участия в инициативах не принимает. Отмечает разницу между Израилем и Россией в переработке мусора.","Мне главное природа, океан или море. Ну, комфортно.","Спокойствие, легкая рефлексия","Природа, экологичность, простота, семейные традиции","Отдых на природе и даче — важная часть досуга, формирующаяся на фоне семейных и культурных традиций. Экологическая осознанность присутствует, но не реализуется в активных действиях.",эпизод,,,,
3,"Взрослая жизнь, последние 5 лет",Личные ритуалы и забота о себе,У респондентки есть устоявшаяся утренняя традиция — йога и массаж лица. Эта привычка появилась благодаря блогеру в Инстаграме и поддерживается уже более 5 лет.,У меня просто каждое утро традиция йога заниматься. Делать йогу. И массаж лица обязательно. Я не могу без этого.,"Удовлетворение, уверенность","Здоровье, дисциплина, забота о себе, самосовершенствование","Личные ритуалы и практики саморазвития становятся частью идентичности современного городского жителя, часто формируются под влиянием социальных сетей и онлайн-сообществ.",узел,,,,
4,"Взрослая жизнь, после переезда",Отношения с родственниками,"После переезда респондентка практически не поддерживает связь с родственниками, кроме родителей. В детстве общение было более тесным.","Мы практически уже больше не созваниваемся, когда я уехала. Я только через родителей о них спрашивала.","Спокойствие, легкая отстраненность","Семейные связи, независимость","Миграция и смена места жительства часто приводят к ослаблению родственных связей, особенно если нет сильных семейных традиций.",эпизод,,,,
5,Подростковый возраст,Семейный конфликт и опыт взросления,"В 14 лет произошел конфликт с матерью из-за курения и алкоголя. Мать применила физическое наказание, что оставило след в памяти респондентки.","Да, да. И по губе мне тогда так дала, что у меня кровь пошла, и больше мне не хотелось курить.","Боль, обида, рефлексия","Свобода, уважение, ненасильственное воспитание",Опыт подросткового конфликта и физического наказания влияет на отношение к воспитанию и формирует установки на свободу и самостоятельность.,перелом,,,,
6,Детство,Семейные традиции и гостеприимство,"В детстве часто приходили гости, что сформировало у респондентки любовь к приему гостей и совместным застольям.","Единственное, когда я была маленькая, у нас гости часто приходили. Может быть, это связано с тем, что я люблю гостей.","Тепло, ностальгия","Гостеприимство, общение, семейные традиции",Семейные традиции детства оказывают влияние на взрослые привычки и предпочтения в организации досуга.,эпизод,,,,
7,"Взрослая жизнь, брак","Отношения с супругом, ценности в браке","Респондентка ценит заботу, принятие, умение обсуждать проблемы и материальную поддержку со стороны мужа. Для нее важно, чтобы мужчина вкладывался в отношения.","Мне важно, чтобы мужчина на меня тратил. Потому что так я себя с женщиной чувствую больше.","Уверенность, спокойствие","Забота, принятие, материальная поддержка, равноправие","В браке респондентка ищет баланс между самостоятельностью и традиционными гендерными ролями, ценит эмоциональную и материальную отдачу.",декларация,,,,
8,"Взрослая жизнь, настоящее время",Планы на будущее и разногласия с супругом,"У супругов разные взгляды на будущее: муж хочет переехать в Москву, респондентка — путешествовать или поехать работать в Азию. Совместных долгосрочных планов нет.","Я путешественница, я не могу к месту привязываться. А он хочет, чтобы в Москву переехать...","Неуверенность, сомнение","Свобода, самореализация, независимость",Различие жизненных стратегий супругов может приводить к напряженности и неопределенности в отношениях.,узел,,False,,
9,"Взрослая жизнь, настоящее время",Финансовые отношения в семье,"У супругов раздельные счета, совместные крупные траты обсуждаются и оплачиваются по возможности. В оплате жилья участвует также бабушка.","У нас разные счета с мужем, и у нас нет общего банковского счета. Мы складываемся на какие-то совместные крупные покупки.","Рациональность, спокойствие","Финансовая самостоятельность, партнерство","Современные семьи часто практикуют финансовую независимость партнеров, что отражает тенденцию к индивидуализации.",эпизод,,,частичная,
10,"Взрослая жизнь, настоящее время",Вопрос детей и репродуктивные решения,"Респондентка не испытывает сильного желания иметь детей, проходит лечение, пробовала ЭКО, рассматривает усыновление, но не готова морально и финансово. Муж не настаивает.","Я не скажу, что я сейчас сильно хочу от него ребенка. И вообще. В силу возраста. Маленький ребенок требует много усилий.","Спокойствие, рефлексия","Свобода, осознанность, здоровье","Вопрос материнства становится предметом осознанного выбора, а не социальной нормы. Финансовые и психологические аспекты играют важную роль.",узел,,False,,
11,"Взрослая жизнь, после развода",Опыт первого брака и уроки,"В первом браке не было свободы, были требования и давление со стороны мужа и его матери. Во втором браке ценит свободу и уважение.",Свобода — это дороже всего. Самое главное для меня — свобода.,"Освобождение, уверенность","Свобода, уважение, самостоятельность","Личный опыт неудачного брака формирует новые ценности и требования к партнерству, акцент на личной свободе.",перелом,,,,
1,"Взросление, подростковый и юношеский периоды",Формирование круга близких друзей,"Респондентка рассказывает о том, как формировался её круг близких друзей: знакомства происходили в разные периоды жизни — в лагере, в школе, университете, по соседству. Сейчас поддерживает связь с 4-5 людьми, в основном онлайн.","Мы в лагере познакомились. Потом одноклассница. И с универа девочка. И соседка. Все, мне кажется. 4-5. 4-5 человек.","спокойствие, лёгкая ностальгия","дружба, стабильность, доверие, взаимопомощь","Круг общения респондентки формировался в традиционных институтах социализации (школа, университет, лагерь, соседство), что типично для российского среднего класса. Сохраняется связь с друзьями, несмотря на географическую разобщённость.",эпизод,"школа, университет, летний лагерь, соседство",,False,
2,"Зрелость, текущий этап жизни",Поддержка и конфликты в дружбе,"Респондентка описывает ценности в дружбе: взаимопомощь, уважение, возможность быть услышанной. Приводит пример конфликта с подругой, который привёл к годичному разрыву общения, но был преодолён.","Я понимала, что я сделала, как я хотела, и я не буду через себя переступать. И я не считаю, что я была перед кем-то виновата тогда, потому что я ее до этого много раз поддерживала.","уверенность, спокойствие, лёгкая обида","самоуважение, границы, поддержка, честность","Респондентка демонстрирует зрелое отношение к конфликтам: готовность отстаивать личные границы, при этом сохранять доброжелательность (отправляла цветы на день рождения).",узел,,False,,
3,"Зрелость, текущий этап жизни",Формат и ритм общения с друзьями,"Общение с друзьями преимущественно онлайн (переписка, звонки), есть желание встречаться чаще, но обстоятельства не позволяют. Важна возможность обсудить день, посоветоваться.","Да, мы переписываемся, иногда созваниваемся в Телеграме, в WhatsApp. Хочется, конечно, видеться больше, но так получается.","спокойствие, лёгкая грусть","связь, поддержка, адаптация к обстоятельствам",Онлайн-общение становится нормой для поддержания дружеских связей в условиях мобильности и занятости.,декларация,,,,
4,"Зрелость, текущий этап жизни",Чувство одиночества и поддержка,"Респондентка не испытывает чувства одиночества, ощущает себя окружённой людьми и поддержкой, даже если работает удалённо. Балансирует между онлайн и офлайн работой.","Всегда ощущаю себя, что кто-то со мной рядом. Даже там ангел-хранитель.","уверенность, спокойствие","поддержка, вера, общение","Важна не только физическая, но и эмоциональная поддержка, ощущение присутствия значимых других.",декларация,,,,
