id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
11,Детство и юность,Мечты и амбиции,"С детства мечтала стать известной, сниматься в фильмах, пыталась поступить в театральное училище, но не прошла.","Наверное, ей до сих пор мечта стать известной. Я пыталась поступать в театральное училище, не прошла.","мечтательность, лёгкая грусть","самореализация, творчество, признание","Творческие амбиции и стремление к публичности — важная часть самоидентификации, несмотря на неудачи.",декларация,,,,
1,подростковый возраст,Самооценка и первые отношения,"В подростковом возрасте респондентка чувствовала себя неуверенно, считала себя 'гадким утенком', но примерно в 13 лет ситуация изменилась: за ней начали ухаживать парни, в основном старше её. Это резко повысило её самооценку, но привело к сложностям с выбором и формированию репутации.",В какой-то момент из гадского утенка я превратилась в прекрасного лебедя. И за мной прям толпами начали ухаживать парни.,"перемешанные: сначала неуверенность, затем эйфория и растерянность","самооценка, принятие себя, внимание противоположного пола",Переходный возраст часто сопровождается скачками самооценки и поиском идентичности. Влияние внимания со стороны противоположного пола становится значимым фактором формирования женской идентичности.,перелом,школа,,False,
2,"юность, ранняя молодость (20-25 лет)",Опыт разочарований в отношениях,"В молодости респондентка была наивной и доверчивой, верила мужчинам и надеялась на серьезные отношения, но сталкивалась с обманом и разочарованиями, часто мужчины оказывались женатыми. Это привело к изменению отношения к отношениям и большей осторожности.","Я была слишком хорошей в мнении. Мужчина потом оказывался женатый... я сама себе нарисовала картинку, а человек совершенно не тот оказался.","разочарование, горечь, усталость","честность, доверие, самоуважение","Опыт разочарований в романтических отношениях типичен для молодых женщин, сталкивающихся с несоответствием ожиданий и реальности. Формируется более прагматичный взгляд на отношения.",узел,,,False,
3,"зрелость, современный этап",Переосмысление отношений и личные границы,"Респондентка пришла к выводу, что для отношений важна не только взаимная симпатия, но и пригодность партнёра. Она предпочитает свободные отношения без обязательств, не видит подходящих мужчин для создания семьи.","Сейчас я уже пришла к тому, что для того, чтобы были отношения, нужно не только хотеть, нужно, чтобы люди были пригодны. И мужчин, которые вообще пригодны для отношений, их очень мало.","спокойствие, принятие, реализм","самостоятельность, свобода, осознанность","Переход к свободным отношениям и отказ от традиционной модели семьи отражает современные тенденции среди женщин, ценящих независимость и личные границы.",декларация,,,False,
4,"зрелость, современный этап",Опыт онлайн-знакомств и международных отношений,"С появлением сайтов знакомств респондентка активно знакомилась онлайн, ходила на свидания, пробовала международные знакомства, но столкнулась с разочарованием и даже опасными ситуациями, что сделало её более осторожной.","Я на этих сайтах очень активно знакомилась, чуть ли не каждый день ходила на свидания... Потом еще я с иностранцами знакомилась... но тоже не мое было.","разочарование, настороженность","безопасность, самостоятельность, опыт","Расширение возможностей знакомств через интернет и международные платформы сопровождается рисками и разочарованиями, что формирует новые стратегии безопасности у женщин.",эпизод,сайты знакомств,,False,
5,"зрелость, современный этап",Повседневная жизнь и организация времени,"Респондентка самостоятельно планирует свои дни и недели, сочетает работу, личные дела, фитнес, уход за собой. Много времени уходит на гаджеты и соцсети, что она осознаёт как проблему.","Обычно вообще я накидываю на неделю план дел, которые мне надо сделать, и раскидываю их на каждый день.","организованность, самокритика","самодисциплина, эффективность, забота о себе","Гибкий график и самостоятельное планирование времени характерны для фрилансеров и самозанятых, что требует высокой самодисциплины.",декларация,,,True,
6,"зрелость, современный этап",Работа и профессиональная самореализация,"Работа респондентки связана с людьми, проектами, съёмками, ведением мероприятий. Привлекает свобода и отсутствие начальника, но есть нестабильность. Сейчас она осваивает блогерство и ведущую как новые направления.","Привлекает, как я уже говорила, то, что сама себе хозяйка, у меня нет начальника, то есть если мне что-то не нравится, я всегда могу отказаться от какого-то проекта.","удовлетворение, легкая тревога из-за нестабильности","самостоятельность, развитие, творчество","Профессиональная самореализация через фриланс и блогерство становится всё более популярной среди женщин, ищущих гибкость и творческую свободу.",декларация,"фриланс, блогерство, ивент-индустрия",,True,
7,"зрелость, современный этап","Хобби, досуг и отдых","Респондентка увлекается актёрским мастерством, фитнесом, любит бывать на природе, помогает родителям за городом, путешествует по стране и миру, посещает театры, кино, читает книги по психологии.","Это актёрское мастерство. Всё моё хобби, наверное, да, которое я хочу. Я монетизировалась. Потом мне нравится тоже фитнесом заниматься, следить за фигурой.","удовлетворение, радость","развитие, здоровье, природа, семья","Совмещение хобби и работы, стремление к монетизации увлечений, а также поддержка родителей и любовь к природе отражают ценности современного городского класса.",декларация,,,True,
8,"зрелость, современный этап",Экологическая ответственность и семейные связи,"Респондентка активно участвует в защите природы вокруг дома родителей, борется с загрязнением, взаимодействует с администрацией, ценит время с родителями.","Мы там перегородили, везде шлагбаум поставили, чтобы люди на берег не могли на машинах съехать... С администрацией тоже работаем, чтобы они какие-то меры предпринимали.","ответственность, тревога, гордость","экология, семья, ответственность","Городские жители, переезжающие за город, часто становятся активными защитниками окружающей среды, формируя локальные сообщества и взаимодействуя с властью.",эпизод,"местная администрация, семья",1.0,,
9,"зрелость, современный этап","Гибкость графика, будни и праздники","Респондентка не разделяет строго будни и выходные, может работать или отдыхать в любой день. К праздникам относится спокойно, предпочитает проводить их с родителями или друзьями.","Я сама, в принципе, могу себе в любой день устроить выходной, когда я захочу. Или поработать в выходной день, если... Есть в этом необходимость и возможность.","спокойствие, независимость","гибкость, семья, дружба","Гибкий график и размытость границ между работой и отдыхом характерны для фрилансеров и самозанятых, что влияет на восприятие праздников и будней.",декларация,,,True,
10,"зрелость, современный этап",Путешествия и идеал отдыха,"Респондентка давно не путешествовала за границу, предпочитает отдыхать с компанией, особенно с мужчиной, которому доверяет. Идеальный отдых — дорогой отель, комфорт, взаимное уважение.","Хотелось бы, чтобы это был всё-таки мужчина... чтобы все по высшему классу, дорогой, качественный отель, перелет, комфортно. на Мальдивы.","мечтательность, лёгкая грусть","комфорт, доверие, качество жизни","Идеализация отдыха с мужчиной и стремление к комфорту отражают как личные, так и культурные установки, а также влияние гендерных сценариев.",декларация,,,True,
1,"Зрелый возраст, настоящее время",Саморегуляция и организация повседневной жизни,"Респондентка осознанно регулирует свою нагрузку, умеет отказываться от лишнего и не берет на себя слишком много обязательств.","Я сама это регулирую, то есть если я чувствую, что действительно перегружено, не вывожу, я немножко притормаживаю, то есть немножко уже отказываюсь от чего-то, то есть не беру на себя слишком много, то есть беру столько, сколько я понимаю, что я вывезу это.","Уверенность, спокойствие","Самостоятельность, баланс, осознанность","Демонстрирует высокий уровень саморефлексии и навыков саморегуляции, характерных для зрелой личности, склонной к самостоятельному управлению жизнью.",декларация,,,,
2,"Зрелый возраст, настоящее время",Изменение отношения к общению и кругу близких,"Респондентка стала самодостаточной, избирательно подходит к выбору окружения, предпочитает общение с людьми, разделяющими её ценности и уважающими личные границы.","На данный момент я вообще пришла к тому, что я человек самодостаточный, и что мне прекрасно, комфортно и одной. Сейчас я стала очень избирательно относиться к своему кругу общения.","Спокойствие, удовлетворение","Самодостаточность, уважение личных границ, общие интересы","Переход от широкой, но поверхностной сети контактов к узкому, но качественному кругу общения типичен для зрелых людей, ориентированных на психологический комфорт.",перелом,,,,
3,Молодость — зрелость,Опыт негативных отношений и переоценка круга общения,"В молодости респондентка была менее избирательна, сталкивалась с манипуляторами, что привело к переосмыслению критериев близости.","Раньше, да, моложе была, то есть мне прям надо было... чтобы был кто-то рядом, с кем-то общаться, обязательно компанию. И я общалась не так избирательно. Встречался с манипуляторами, с теми людьми, с кем вообще лучше не надо было бы общаться.","Сожаление, осознанность","Опыт, личные границы, самостоятельность",Опыт негативных отношений становится точкой роста и формирования зрелых стратегий общения.,эпизод,,,,
4,"Зрелый возраст, настоящее время",Структура и динамика круга общения,"Близкий круг составляет 5-10 человек, общение с ними зависит от жизненных обстоятельств (работа, семья, дети).","Если по кругам там бар, Ну, с кем-то ближе человек, может быть, 5-10, с кем более-менее я близко делюсь.",Нейтрально-прагматичный,"Качество общения, взаимопонимание",Сужение круга близких связано с изменением жизненных приоритетов у респондента и её окружения.,декларация,,,,
5,Взрослая жизнь,Семейные конфликты и утрата доверия,"С двоюродным братом произошёл конфликт из-за наследства, что привело к разрыву отношений и судебным разбирательствам.","У меня есть двоюродный, да, родных нет. И, к сожалению, с ним произошли контры. Человек оказался очень непорядочно поступил. Там квартира из бабушки, но он у нас просто ее нечестным путем себе забрал.","Обида, разочарование","Честность, справедливость, доверие","Семейные конфликты вокруг наследства — частый источник разрыва даже между близкими родственниками, особенно при неравных возможностях и юридической грамотности.",узел,"семья, суд",,,
6,"Зрелый возраст, настоящее время",Отношения с родителями,"Респондентка поддерживает отношения с родителями, несмотря на расстояние, старается видеться раз в две недели.","С родителями, да, я стараюсь поддерживать, но так как все-таки у нас расстояние 50 километров... стараюсь хотя бы раз в две недели с ними видеться.","Забота, ответственность","Семейные связи, поддержка",Регулярные контакты с родителями свидетельствуют о сохранении семейных ценностей и взаимной поддержке.,декларация,,,,
7,"Зрелый возраст, настоящее время",Близкие друзья и особенности дружбы,"Основное близкое общение — с двумя женщинами: одной моложе, другой — знакомой по университету. Общение с женщинами с детьми становится поверхностным.","Вот сейчас, например, больше всех и ближе всех вот из друзей, так скажем, я общаюсь с одной девочкой, которой 30 лет... И потом ещё я общаюсь с одной девушкой, с которой мы учились в универе.","Теплота, удовлетворение","Общие интересы, поддержка, взаимопонимание","Дружба становится более избирательной, а наличие детей у подруг влияет на интенсивность общения.",эпизод,,,,
8,"Зрелый возраст, настоящее время",Отношение к материнству,"Респондентка не готова к материнству без достойного партнёра, боится ответственности и самого процесса родов.","Это очень большая ответственность ребенок. И все-таки мне хотелось бы, чтобы у ребенка был нормальный отец. И мужчину, которого я бы видела отцом ребенка, пригодного именно на роль отца ребенка, я не знаю даже такого рода.","Осторожность, тревога","Ответственность, осознанность, безопасность",Современные женщины всё чаще откладывают материнство из-за отсутствия подходящего партнёра и страха перед ответственностью.,декларация,,,,
9,"Зрелый возраст, настоящее время",Отношение к домашним животным,"Животные есть у родителей, сама респондентка не заводит из-за нежелания брать на себя дополнительную ответственность.","Я тоже у себя дома не хочу ответственности, потому что собака, за ней все время надо с ней гулять. Иногда мне просто лень выходить.","Прагматизм, легкая усталость","Комфорт, независимость",Отказ от домашних животных связан с приоритетом личного пространства и нежеланием усложнять быт.,декларация,,,,
10,"Зрелый возраст, настоящее время",Ощущение одиночества и личное пространство,"Респондентка ценит свободу и независимость, но иногда испытывает страх одиночества и тревогу о будущем.","Бывает иногда я, наоборот, такой кайф ощущаю, что вот я сама себе хозяйка... А с другой стороны, конечно, иногда накрывает. Иногда просто какой-то страх. А что дальше?",Амбивалентность: удовлетворение и тревога,"Свобода, независимость, личное пространство","Ощущение одиночества и тревоги о будущем — характерная черта одиноких взрослых, особенно женщин, ценящих автономию.",узел,,,,
11,"Зрелый возраст, настоящее время",Источники поддержки,"В случае трудностей респондентка рассчитывает только на родителей, особенно на отца.","Кроме как к родителям некому. Потому что мой папа при всем его характере, он меня по-своему любит, он никогда меня в беде не бросит.","Доверие, благодарность","Семейная поддержка, надёжность","Семья остаётся главным источником поддержки для респондента, несмотря на зрелый возраст.",декларация,,,,
12,"Зрелый возраст, настоящее время",Потребность в личном пространстве,"Респондентка не готова делить своё жильё даже с тихими соседями, ценит возможность быть хозяйкой пространства.",Мне нужно личное пространство.,"Уверенность, раздражение при нарушении границ","Личное пространство, автономия","Потребность в личном пространстве становится приоритетом, даже если это ограничивает социальные контакты.",декларация,,0.0,,
13,"Зрелый возраст, настоящее время",Здоровье и отношение к медицине,"Респондентка считает себя относительно здоровой, редко обращается к врачам, отмечает недоверие к коммерческой медицине и минимализм в государственной.","Очень много у нас платного, то есть лучше не болеть, то есть бесплатно вот самый минимум, да. И тоже не знаешь, придешь к врачу, там специально найдут, что надо, что не надо, лишь бы побольше денег взять.","Недоверие, осторожность","Здоровье, самостоятельность, экономия","Недоверие к системе здравоохранения и ориентация на самопомощь типичны для людей, имеющих негативный опыт или ограниченные ресурсы.",декларация,,,минимальная,
14,"Зрелый возраст, настоящее время",Здоровый образ жизни,"Респондентка не фанатка ЗОЖ, но старается придерживаться умеренности в питании, не курит, занимается фитнесом, высыпается.","я не скажу, что прям вот такой здоровый, да, что прям я фанатка, придерживаюсь, но по возможности стараюсь, то есть я не курю, раньше баловалась, да, было такое...","Умеренность, спокойствие","Умеренность, забота о себе","Умеренный подход к здоровью и отсутствие крайностей характерны для зрелых людей, ориентированных на баланс.",декларация,,,,
15,"Зрелый возраст, настоящее время",Психологическое благополучие и отношение к стрессу,"Респондентка оценивает своё психологическое состояние на 7 из 10, справляется со стрессом благодаря философскому отношению к жизни.","Все зависит от восприятия, отношения к жизни. Можно из-за какой-то белочек устроить трагедию. А можно это произошло, произошло, понять как данность.","Спокойствие, философичность","Принятие, оптимизм, устойчивость",Философское отношение к жизни и умение справляться со стрессом без внешней помощи — черта зрелой личности.,декларация,,,,
16,"Зрелый возраст, настоящее время",Опыт обращения к психологам и нетрадиционной медицине,"Респондентка обращалась к психологам, но не нашла для себя пользы, практикует медитацию и йогу, верит в свои способности, но не отвергает традиционную медицину.","Психологи мне не могут сказать, того, чего я и сама не знаю. То есть я сама могу быть психологом. ... В принципе, я сама практикую, сама тоже знаю, у меня тоже есть, я знаю к этому способности.","Скепсис, уверенность","Самостоятельность, открытость новому, рациональность",Скептическое отношение к профессиональной психологической помощи и интерес к самопомощи и нетрадиционным практикам характерны для людей с высоким уровнем саморефлексии.,декларация,,,,
1,зрелый возраст (40+),Здоровье родителей и забота о близких,"Респондентка рассказывает о здоровье родителей, которым около 70 лет. Они следят за здоровьем, проходят обследования в Казани. В случае серьезных проблем респондентка рассчитывает на поддержку родителей, как моральную, так и финансовую.","Вот если что-то действительно серьезное, ну, к родителям в первую очередь обращусь, буду искать у них помощи, поддержки, не только финансовые, а моральных, просто больше некому.","спокойствие, некоторая тревога","семья, поддержка, ответственность","Семейные связи остаются ключевым ресурсом поддержки даже во взрослом возрасте, особенно при отсутствии других близких.",узел,семья,,,
2,зрелый возраст (40+),Отношение к здоровью и внешности,"Респондентка подчеркивает, что не прибегала к косметическим инъекциям и против вмешательств в естественную внешность.","Мне 46 лет, я ни разу никаких уколов вот этих пластиков, ничего я не делала, и я против вообще в этих мешать.","уверенность, гордость","естественность, здоровье, самоуважение",Отказ от косметологических процедур может быть связан с ценностью естественности и критическим отношением к навязываемым стандартам красоты.,декларация,,,,
