id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation
2,"Настоящее время, повседневность",Работа и трудовые отношения,"Респондент работает сверхурочно по собственному выбору, чтобы иметь возможность брать отгулы. Работает в государственной организации (кораблестроение), отмечает наличие соцгарантий, но считает, что людей сейчас не ценят.","Ну, это мой выбор, надо замок вовремя начать. Но есть возможность с этих сверхурочных два часа. Взять одну, знаете, вот. Ну как, в сумме этих наработанных часов можно взять отгул...","Сдержанность, прагматизм","Трудолюбие, стабильность, самостоятельность","Работа в госсекторе обеспечивает соцгарантии, но не всегда удовлетворяет в плане признания и зарплаты. Сверхурочная работа воспринимается как вынужденная мера для дополнительного отдыха.",эпизод,государственная организация,,
3,Настоящее время,Досуг и хобби,Респондент предпочитает смотреть сериалы и интересуется телефонией. Домашних животных не заводит из-за нежелания брать на себя дополнительную ответственность.,Тайный какой хобби? Телефония. За животными надо ухаживать.,"Спокойствие, рациональность","Личное пространство, ответственность",Выбор досуга и отказ от домашних животных отражают ориентацию на личное удобство и минимизацию обязательств.,декларация,,,
4,Настоящее время,Отношение к культуре и природе,"Респондент посещает музеи, отмечая, что жить в Петербурге и не ходить в музей странно. К природе относится спокойно, но летом любит выезжать на шашлыки к воде. Экологические проблемы его не волнуют.","Ну, как жить в Питере и не сходить в музей-то? Пусть экологи волнуются. Мне еще волноваться за экологию. Мне есть за что.","Ирония, легкая отстраненность","Традиции, прагматизм",Культурные практики воспринимаются как часть городской идентичности. Экологическая проблематика не входит в круг личных забот.,декларация,,,
5,Детство и влияние семьи,Религиозные и семейные традиции,"Респондент отмечает влияние бабушки, которая была верующей и приучила его к христианским праздникам. Также важны Новый год и дни рождения близких.","У меня бабушка была сильная, верующая сильно. Она меня как бы приучила. христианские для меня праздники.","Теплота, благодарность","Семейные традиции, религиозность",Религиозные и семейные традиции передаются по наследству и сохраняют значимость даже в зрелом возрасте.,узел,,,
6,Настоящее время,Отпуск и связь с родиной,"Респондент проводит отпуск, навещая маму на родине. Обычно отдых ограничен несколькими днями, идеальный отдых — поездка за границу, но пока это недостижимо.","Отпуск, вот сегодня первый день отпуска, вот с вами общаюсь. Поеду на родину в четверг.","Спокойствие, легкая тоска","Семья, стабильность, умеренность","Отпуск используется для поддержания семейных связей, а не для развлечений или путешествий. Идеалы отдыха остаются недостижимыми из-за финансовых ограничений.",эпизод,,,
7,Настоящее время,Удовлетворенность жизнью и усталость,"Респондент в целом доволен распорядком дня, но отмечает усталость и желание получать больше зарплаты вместо необходимости работать сверхурочно.","Ну, мне выбирать не с чего, я не знаю. Ну, что вам сказать? Ну, доволен я. Конечно, устаешь. Хотелось бы, чтобы в зарплату добавили, а не чтобы мне приходилось, допустим, сверхурочно работать.","Смирение, усталость","Стабильность, прагматизм",Обыденная удовлетворенность сочетается с усталостью и скрытым недовольством уровнем дохода.,декларация,,,
8,Взрослая жизнь,Семейные отношения и поддержка,"Респондент поддерживает регулярную связь с мамой и сестрой, отмечает, что с возрастом стал лучше понимать мать. С женой отношения теплые, ценит поддержку и ненавязчивость. Совместно планируют расширение жилья, бюджет делят по ролям.","Больше я ее начал понимать, что... Она ко мне не лезет. Ну как? Не... Как объяснить? Ну она меня поддерживает и... чтобы навязать свое что-то.","Признательность, спокойствие","Поддержка, самостоятельность, уважение личных границ",Семейные отношения строятся на взаимной поддержке и уважении автономии. Бюджетное планирование и совместные цели типичны для стабильных семей.,узел,,,
9,Взрослая жизнь,Дружба и социальные связи,"Респондент не имеет настоящих друзей, поддерживает в основном рабочие контакты. Потеря друзей связана с жизненными обстоятельствами, смертью, утратой контактов. Близкими считает маму и жену.","Наверное, нет таких друзей, чтобы назвать настоящим другом. Сейчас самые близкие это мне мама и жена моя.","Одиночество, принятие","Семья, честность, надежность",Сужение круга общения до семьи и коллег типично для зрелого возраста и рабочих людей. Дружба уступает место семейным связям.,декларация,,,
10,Настоящее время,Здоровье и образ жизни,"Респондент ощущает усталость, связывает это с возрастом и тяжелой работой. Питание не ограничивает, предпочитает мясо. Физическая активность ограничена работой. Хотел бы изменить образ жизни, если бы были деньги.","Если ты целый день в дыму... Уржавчины. Конечно, хотелось бы быть каким-нибудь миллионером и заниматься своим здоровьем.","Усталость, ирония","Здоровье, материальное благополучие","Физический труд и отсутствие ресурсов для заботы о здоровье типичны для рабочих профессий. Здоровье воспринимается как ресурс, зависящий от финансов.",декларация,,,
11,Настоящее время,Вредные привычки,"Респондент курит с восьмого класса, были попытки бросить, но неудачные. Курение воспринимает как привычку.","Как долго? С восьмого класса, кстати. Не знаю, это, наверное, привычка больше.",Смирение,"Привычка, реализм","Долгосрочные вредные привычки часто сопровождают представителей рабочих профессий, воспринимаются как часть повседневности.",эпизод,,,
12,Настоящее время,Отношение к медицине,"Респондент редко обращается к врачам, предпочитает государственные клиники. К народной медицине относится положительно, вспоминает детство. Считает, что доступ к качественной медицине зависит от денег.","Бесплатно это можно прийти, да. Вы сами знаете, пришел, бесплатно записали тебя, посмотрели. Допустим, вот как в стоматологию я пришел, бесплатная пломба бесплатная, а хорошая пломба 2000-3000.","Скепсис, прагматизм","Практичность, экономия",Недоверие к бесплатной медицине и ориентация на народные средства типичны для людей с опытом советской системы здравоохранения.,декларация,,,
13,Настоящее время,Эмоциональное состояние и поддержка,"Респондент отмечает, что депрессия бывает после алкоголя, справляется с ней сном. За помощью обращается к близким, в первую очередь к маме, жене, сестре. За здоровье близких переживает.","Да, бывает. Это после выпитого алкоголя. Вот постоянно какая-то депрессия. Сейчас самые близкие это мне мама и жена моя. Я думаю, что они меня любят и поддерживают.","Усталость, благодарность","Семья, поддержка",Семья выступает главным источником поддержки и эмоционального ресурса. Обращение к специалистам по психическому здоровью не рассматривается.,эпизод,,,
14,Настоящее время,Возрастные изменения и забота о будущем,"Респондент отмечает ухудшение зрения и снижение сил за последние два года, но пока это не влияет на работу. О будущем здоровье задумывается, но не предпринимает активных шагов.","Ну, зрение подсело буквально за два года. капитально силы.","Беспокойство, принятие","Здоровье, адаптация","Возрастные изменения воспринимаются как неизбежность, активная забота о здоровье затруднена из-за условий труда и ограниченных ресурсов.",узел,,,
1,"Зрелый возраст, семейная жизнь",Самостоятельность и забота о себе,"Респондент выражает уверенность в собственной самостоятельности и не рассчитывает на помощь других, кроме, возможно, супруги. Основная стратегия — полагаться на себя.","Супруга, если позаботится. Все надежды только на себя. Пока я жив, буду заботиться о себе я.","Уверенность, сдержанность","Самостоятельность, ответственность, независимость","Типичная для зрелых мужчин установка на самостоятельность и недоверие к внешней поддержке, отражает ценности индивидуализма и личной ответственности.",декларация,,,
2,"Настоящее время, семейная жизнь",Финансовое положение и отношение к доходам,"Респондент спокойно относится к серой зарплате, не видит в этом проблемы для себя, перекладывает ответственность на работодателя. Доходы семьи — 150 тыс. у респондента, 60-70 тыс. у супруги.","Отлично. Лишь бы деньги платили. ... Мне какая разница, если мне сказали сумму, ты получишь такую или официальную, или неофициальную. Мне разницы нет.","Прагматизм, безразличие","Практичность, финансовая стабильность","Отражает распространённую в России практику принятия неформальных доходов и низкий уровень доверия к институтам, ответственным за прозрачность доходов.",декларация,,,участие в неформальном рынке труда
3,"Настоящее время, семейная жизнь","Сбережения, кредиты и финансовое поведение","Семья копит деньги, в основном на расширение жилья, старается экономить, избегает кредитов. Сбережения хранят в банке, раньше — наличными. Кредитов не брали, не любят быть должными.","Мы отлаживаем, копим, копим, копим. ... Никогда я кредита не брал. Я не люблю брать кредит. Я не люблю быть должным.","Осторожность, рациональность","Финансовая независимость, осторожность, долгосрочное планирование","Стратегия накопления и избегания долгов типична для семей с опытом экономических кризисов, отражает недоверие к кредитным институтам.",эпизод,,расширение жилья,банковские вклады
4,Детство и юность,Опыт нехватки денег в детстве,"В детстве респондент сталкивался с нехваткой денег, зарабатывал сам, подрабатывая на заводах, собирая металл.","Ну, в детстве, я же говорю, мы ходили по заводам, то металл подворовывали. Ну как-то зарабатывали себе копейку.","Ностальгия, легкая грусть","Трудолюбие, самостоятельность с ранних лет",Опыт экономических трудностей в детстве формирует установки на самостоятельность и недоверие к долгам во взрослом возрасте.,эпизод,,,
5,"Настоящее время, семейная жизнь",Потребительское поведение,"Респондент не придает значения брендам, ориентируется на удобство и качество, технику выбирает по отзывам, не интересуется поддержанными вещами, маркетплейсами пользуется супруга.","МРМ-тайм не особо и важен. Лишь бы не было в нём удобного, ну как, удобного, например.","Безразличие, прагматизм","Практичность, рациональность","Потребительское поведение ориентировано на функциональность, а не на статусные или модные покупки.",декларация,,,"ограниченное участие, предпочтение офлайн-покупок"
6,"Настоящее время, семейная жизнь",Бюджет и семейные финансы,"В семье решения о крупных тратах принимаются совместно, разногласий не возникает, финансовых трудностей не было.","Ну, вместе принимаем решение.","Спокойствие, удовлетворенность","Сотрудничество, семейная гармония",Совместное принятие решений по финансам — индикатор партнерских отношений в семье.,декларация,,,
7,"Настоящее время, семейная жизнь",Отношение к деньгам и достаточному доходу,"Деньги воспринимаются как необходимое условие жизни, но не как высшая ценность. Для комфортной жизни достаточно 250 тыс. рублей в месяц.","Деньги – это жизнь. Как объяснить? Нет денег – надо ехать в тайгу. Я не знаю, как объяснить. Деньги – это не самое важное.",Философское спокойствие,"Умеренность, достаточность","Отражает баланс между материальными и нематериальными ценностями, характерный для зрелых людей с опытом экономических трудностей.",декларация,,,
8,"Миграция, получение гражданства",Опыт взаимодействия с государственными органами при получении гражданства,"Респондент столкнулся с бюрократическими трудностями при оформлении гражданства и военного билета: путаница с адресами, потеря анализов, необходимость разбираться самостоятельно.",Вот там мне нервы помотали от всей души.,"Раздражение, усталость","Самостоятельность, настойчивость",Опыт миграции и взаимодействия с бюрократией формирует недоверие к государственным институтам и привычку рассчитывать только на себя.,узел,"государственные органы, военкомат, поликлиника",,
9,Настоящее время,Доверие к государству и опыт работы на госпредприятии,"Респондент работал на государственном предприятии, доверяет государственным органам на 50%, не считает возможным полностью доверять.",На 50%. А потому что нельзя верить на все сто.,"Скепсис, осторожность","Осторожность, критичность",Частичное доверие к государству типично для людей с опытом бюрократических трудностей и работы в госсекторе.,декларация,государственное предприятие,,
10,Настоящее время,Политические взгляды и отношение к власти,"Респондент слабо интересуется политикой, не считает себя способным влиять на происходящее, не видит развития страны, особенно в промышленности.",Ну не развивается ни хрена. Вот это печально.,"Пессимизм, разочарование","Развитие, прогресс",Пассивная гражданская позиция и разочарование в возможностях влияния на власть характерны для значительной части населения.,декларация,,,
11,Настоящее время,Отношение к оппозиции и источникам информации,"Респондент считает, что в России нет настоящей оппозиции, не доверяет оппозиционерам за границей, получает новости в основном из Telegram.","Я считаю, что просто нет в России этой оппозиции. Это какие-то идиоты. ... В политике я особо не соображаю.","Скепсис, недоверие","Прагматизм, недоверие к политическим институтам",Недоверие к оппозиции и ориентация на неформальные источники информации (Telegram) отражают общий тренд на снижение доверия к официальным и оппозиционным каналам.,декларация,,,информационное потребление через соцсети
1,"Зрелость, жизнь в России после переезда из Украины",Отношение к войне и международной политике,"Респондент выражает разочарование в гуманном подходе России к ведению войны, считает, что для победы нужно действовать жестче, как другие страны. Объясняет мягкость позицией о 'братском народе'.","Ну как, надо равнять города, если хотим выиграть. Хватит смотреть на мирное население. Они наших не жалеют. Зачем гуманность?","Раздражение, разочарование, некоторая агрессия","Прагматизм, победа любой ценой, справедливость (в его понимании), сила","Респондент демонстрирует милитаристские установки, оправдывает жестокость в войне, ссылаясь на опыт других стран. Важен мотив 'братского народа' как объяснение российской мягкости.",декларация,"Государство, армия",,
2,"Зрелость, адаптация в российском обществе",Отношение к внутренней политике и государственным институтам,"Респондент мало интересуется внутренней политикой, не следит за законами, не сталкивался с коррупцией, доверяет чиновникам, считает, что всё 'улажено'.","Да, я особо не знаю, какие там законы принимают.","Безразличие, дистанция","Стабильность, доверие к государству, пассивность","Пассивная гражданская позиция, низкая вовлеченность в политическую жизнь, характерная для части населения, особенно мигрантов или людей с опытом переезда.",декларация,Государство,,
3,"Переходный этап, опыт жизни на Украине и переезд в Россию",Опыт участия в выборах и политическая социализация,"Респондент упоминает, что раньше жил на Украине, но всегда воспринимал Путина как постоянную фигуру, голосовал без особых раздумий.","Я до этого, когда жил на Украине... Как бы Владимир, ну, Путин был как бы всегда. Нормально все было, все было.","Ностальгия, принятие","Постоянство, привычка, отсутствие перемен","Переезд из Украины в Россию не вызвал у респондента переосмысления политических взглядов, он склонен к принятию существующего порядка.",эпизод,"Государство, выборы",,
4,Зрелость,Экономические взгляды: конкуренция и монополии,"Респондент предпочитает конкуренцию государственным монополиям, хотя признаёт, что РЖД работает хорошо.","Ну, конечно, лучше конкуренция.","Рациональность, прагматизм","Эффективность, справедливость","Склонность к рыночным ценностям, несмотря на общее доверие к государству.",декларация,,,True
5,"Зрелость, период СВО",Влияние войны на личную жизнь и тревожность,"Респондент признаёт, что война повлияла на его жизнь, считает, что её нужно было начинать раньше, испытывает тревогу и готовность к личному участию.","Я думал, что я одену каску и бронежилет и поеду. Это мое личное мнение такое.","Тревога, готовность, напряжение","Долг, готовность к жертве, патриотизм","Война воспринимается как личная угроза и вызов, респондент внутренне мобилизован.",узел,,,
6,Зрелость,"Отношение к технологиям, соцсетям и играм","Социальные сети используются в основном для новостей и развлечения, респондент не вовлечён в онлайн-сообщества, к ИИ относится с недоверием и непониманием, игры — как способ общения и отдыха.","Я редиску мариновал, отыскал в рецепт.","Безразличие, умеренный интерес","Практичность, умеренность, традиционность","Низкая цифровая компетентность, соцсети и технологии не интегрированы в повседневную жизнь как значимый фактор.",декларация,,,False
7,Зрелость,Влияние технологий на отношения,"Респондент считает, что технологии могут как сближать, так и отдалять людей, в зависимости от среды общения. Личного дефицита живого общения не испытывает.","Да нет, у меня общения хватает и живого, и мёртвого.","Спокойствие, ирония","Самодостаточность, независимость","Технологии не воспринимаются как угроза личным отношениям, респондент адаптирован к современным формам коммуникации.",декларация,,,
8,"Зрелость, последние годы",Ключевые события года и эмоциональное состояние,"Внешние события (война в Израиле, выборы Трампа) вызывают тревогу, но на личную жизнь почти не влияют. Эмоциональное состояние стабильное, изменений в жизни не ощущает.",В мире творится черти что.,"Тревожность, апатия","Стабильность, дистанция от внешнего мира","Респондент дистанцируется от глобальных событий, предпочитает сохранять внутреннее равновесие.",эпизод,,,
9,"Зрелость, настоящее и планы на будущее","Планы на будущее, жилищный вопрос, семья","Респондент хотел бы расширить жилплощадь, сделать ремонт, завести ребёнка, но считает, что многое зависит от внешних обстоятельств.","Хотелось бы, конечно, жилплощадь. ремонт хотелось бы сделать.","Сдержанный оптимизм, неуверенность","Семья, комфорт, материальное благополучие","Жилищный вопрос и планы на семью — ключевые мотивы, но ощущается зависимость от внешних факторов.",узел,,True,
10,"Зрелость, рефлексия",Жизненные принципы и ценности,"Респондент формулирует простые жизненные принципы: не убей, не укради, работать, желать здоровья. Смыслом жизни считает семью, важна стабильная работа и гармония в доме.","Не убей, не укради. Работай и дай Богу здоровья. Это мои жизненные принципы.","Спокойствие, уверенность","Труд, честность, семья, здоровье","Традиционные ценности, ориентация на простые и понятные жизненные ориентиры.",декларация,,,
11,"Переходный этап, кризисные моменты",Опыт жизненных кризисов и поиск смысла,"В прошлом респондент переживал периоды безработицы и разрухи, чувствовал себя ненужным, но выход находил в поиске работы и перспективы.","Просыпаешься, ни работы, ни хрена нет. Вокруг разруха. Ну и что делать? И никому ты не нужен. Ну, кроме мамы.","Одиночество, отчаяние, надежда","Самостоятельность, труд, поддержка семьи","Кризисные периоды преодолеваются через труд и поиск смысла в будущем, важна роль семьи как опоры.",перелом,,,
12,"Зрелость, рефлексия","Оценка жизненного пути, сожаления и черты характера","Респондент сожалеет, что не учился, не может назвать удачные моменты, считает себя типичным 'стрельцом', хотел бы быть спокойнее.","Учиться надо было, он, к сожалению, не учился.","Сожаление, самоирония","Самоанализ, принятие себя","Самокритика и принятие своих черт, ориентация на астрологические объяснения характера.",рефлексия,,,
1,Зрелость,Отношение к смерти,"Респондент говорит, что редко думает о смерти, и если бы не вопрос интервьюера, не задумался бы об этом. Демонстрирует спокойное, фаталистичное отношение: 'каждому свое, за всеми придет'.","Да не, не думал. Вот если бы вы не сказали, я бы не думал. Каждому свое. За всеми придет.","спокойствие, равнодушие","принятие неизбежного, отсутствие тревоги по поводу смерти","Респондент демонстрирует типичную для зрелого возраста дистанцию к теме смерти, избегая излишней рефлексии и эмоционального вовлечения. Такая позиция может быть связана с жизненным опытом и внутренней установкой на принятие естественного хода вещей.",декларация,,,
002,Настоящее,Рефлексия после интервью,"Респондент не отмечает изменений в самовосприятии после интервью, не испытывает особых эмоций, кроме физического чувства голода и усталости. Не считает, что что-то важное осталось не сказанным.","Нечего кушать хочу. Ничего особенного. По-моему, все равно не будет.","усталость, равнодушие","простота, отсутствие излишней рефлексии","Респондент демонстрирует низкий уровень вовлеченности в процесс интервью и рефлексии, что может указывать на прагматичный или даже фаталистичный взгляд на жизнь. Отсутствие желания что-то добавить или изменить говорит о внутренней завершенности или усталости от обсуждения личных тем.",декларация,,,
