id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,collapse_context,market_participation,housing_promised
15,"Пожилой возраст, настоящее",Любовь к городу и уличной культуре,"Респондент выражает радость от прогулок по городу, отмечает атмосферу, которую создают уличные музыканты, и сожаление, когда их гоняют.","Просто, знаете, идёшь и радуешься.","Радость, умиротворение","Красота, культура, радость жизни",Городская среда и уличная культура становятся источником положительных эмоций и поддерживают качество жизни в пожилом возрасте.,эпизод,,,,
1,"Зрелость, пенсионный возраст",Отношение к музыке и эстетическим удовольствиям,"Респондентка рассказывает о своём отношении к музыке: у неё нет музыкального образования, но она любит классическую музыку и романсы, руководствуется исключительно личными чувствами.","Мне нравится. Классическая мне нравится музыка. Но она мне знаете как нравится? Нравится, не нравится, я ничего не понимаю, просто цепляет или не цепляет.","Лёгкая, спокойная, искренняя","Искренность, эмоциональная отзывчивость, простота","Отсутствие формального образования в области искусства не мешает респондентке получать удовольствие от музыки, что отражает ориентацию на личные ощущения и эмоциональный отклик, а не на социально одобряемые критерии.",декларация,,,,
2,"Настоящее, пенсионный возраст",Внутреннее состояние и отношение к жизни сейчас,"Респондентка описывает своё текущее состояние как радостное и умиротворённое, отмечая, что теперь замечает красоту окружающего мира, чего не было в более напряжённые периоды жизни.","Я живу и радуюсь этой жизни. Я раньше, когда жизнь была сумасшедшая, ничего не замечала. А сейчас на небо посмотрю, цветочки, листики появились. И так хорошо, когда человек просто живёт.","Спокойствие, благодарность, умиротворение","Умение радоваться простым вещам, осознанность, гармония",Переход к пенсионному возрасту часто сопровождается переоценкой ценностей и смещением фокуса с внешних достижений на внутреннее благополучие и простые радости.,декларация,,,,
3,"Зрелость, трудовая деятельность (1990-е – 2010)",Период предпринимательства и трудностей,"Респондентка рассказывает о 20-летнем периоде напряжённой жизни, связанной с работой, детьми и предпринимательством. Она отмечает, что предпринимательство было вынужденным, хотя и успешным.","Это работа, дети, потом вот это вот 20 лет для счастья, безобразия, когда, не знаешь, будешь пан или пропал.","Усталость, напряжение, некоторая гордость","Ответственность, выживание, забота о семье","Период 1990-х и 2000-х годов в России был временем экономической нестабильности, что вынуждало многих женщин брать на себя роль предпринимателей для обеспечения семьи.",эпизод,,,"малый бизнес, торговля",
4,Переход на пенсию (около 2010 года),Завершение трудовой деятельности и финансовая адаптация,"Респондентка завершила предпринимательскую деятельность около 2010 года, отмечает сложности перехода к жизни на пенсию, необходимость адаптироваться к новому уровню дохода и управлять расходами.","Я закончила свой трудовой день примерно в 2010 году. Мне не нравилось, чем я занималась... Очень довольна, что очень давно не предприниматель.","Облегчение, тревога, адаптация","Самостоятельность, финансовая грамотность, адаптивность","Переход на пенсию часто сопровождается снижением дохода и необходимостью пересмотра привычного образа жизни, что требует новых стратегий финансового поведения.",перелом,,,выход из бизнеса,False
5,"Пенсионный возраст, настоящее",Финансовое поведение и мобильность,"Респондентка рассказывает о своей мобильности (ездит на машине к друзьям и родственникам), о том, как справляется с расходами на топливо и страховку, избегает кредитов, копит небольшие суммы для безопасности.","Карточки я не беру эти кредитные. Мне это неудобно, потому что дохода как такового нет. Если я, допустим, потратила больше, чем пенсия, то потом со следующей пенсией достаточно доложить туда.","Рациональность, осторожность, независимость","Финансовая дисциплина, независимость, поддержка социальных связей","Для пенсионеров характерна осторожность в финансовых вопросах, отказ от кредитов, стремление к финансовой безопасности и поддержанию социальных связей.",эпизод,,,"потребитель, автолюбитель",
6,"Молодость, студенчество и ранняя семья","Студенческий брак, рождение детей, распределение","Респондентка описывает студенческий брак, рождение сына после третьего курса, переезд по распределению мужа в северный город, работу в проектном бюро, рождение дочери, трудности 1980-х годов.","Брак у нас был студенческий... после третьего курса я уже родила сына... Потом мужа отправили, было такое распределение... Там было проектное бюро, я начала работать там.","Ностальгия, гордость, лёгкая грусть","Семья, трудолюбие, адаптивность","Ранние браки и рождение детей во время учёбы были характерны для советского времени, как и практика распределения молодых специалистов.",эпизод,"вуз, распределение, проектное бюро",,,
7,"Зрелость, конец 1980-х",Дефицит и коллективизм в позднем СССР,"Респондентка вспоминает о дефиците товаров в конце 1980-х, коллективных походах за продуктами, дружбе в коллективе, совместных праздниках.","У нас дочка родилась в 80-е годы, были конец 80-х. Убитого на систему, ничего не было. Мы отправлялись от нашего отдела человека в магазин, она занимала очередь на весь отдел.","Солидарность, лёгкая ирония, воспоминания","Коллективизм, взаимопомощь, выживание","Дефицит товаров и практика коллективных закупок были характерны для позднего СССР, что формировало особую культуру взаимопомощи и солидарности.",эпизод,"отдел, магазин, система распределения",,,
8,"Зрелость, 1990-е",Развод и перестройка,"Респондентка рассказывает о разводе с мужем в период перестройки, когда у него появились деньги и новая семья. Она отмечает, что не переживала это остро, так как была занята детьми и выживанием.",Он не выдержал перестройки. семья как это У моего мужа появились деньги.,"Спокойствие, некоторая отстранённость","Самостоятельность, забота о детях, стойкость","Период перестройки сопровождался изменением семейных ролей и ростом числа разводов, особенно на фоне экономических изменений.",перелом,,,,
9,"Зрелость, после развода",Воспитание детей и поддержка бывшего мужа,"Респондентка отмечает, что бывший муж помогал детям после развода, и ей пришлось самостоятельно справляться с трудностями.",Помогал.,"Благодарность, спокойствие","Ответственность, забота о семье","Даже после развода поддержка бывших супругов может сохраняться, что облегчает бремя воспитания детей для женщин.",узел,,,,
10,Настоящее,Главные ценности в жизни,"Респондентка считает самой важной ценностью любовь во всех проявлениях: к близким, к животным, к миру.","Любовь. Любовь к женщинам и мужчинам, любовь к матери и к ребёнкам, любовь к ближнему, любовь к братьям нашим меньшим. Просто вообще любовь.","Тепло, открытость, вдохновение","Любовь, доброта, эмпатия",В зрелом возрасте часто происходит переосмысление жизненных приоритетов в сторону нематериальных ценностей.,декларация,,,,
11,Настоящее,Чувство любви и поддержки,"Респондентка ощущает себя любимой детьми, внуками и подругами, что придаёт ей уверенность и радость.","Конечно, меня любят дети, меня любят ребенки. Надеюсь, меня любят и подруги мои.","Уверенность, благодарность, радость","Семья, дружба, поддержка",Социальные связи и поддержка семьи и друзей становятся особенно значимыми в пожилом возрасте.,декларация,,,,
12,Настоящее,Рефлексия о родителях и принятии решений,"Респондентка благодарна родителям за уважение к её мнению в детстве, считает, что это дало ей уверенность и способность принимать решения.","Я очень благодарна своим родителям за то, что они всегда относились ко мне как к взрослым. Для них всегда было интересно моё мнение.","Благодарность, уважение","Уважение, самостоятельность, ответственность",Раннее приобщение к принятию решений в семье способствует формированию уверенности и самостоятельности у детей.,декларация,,,,
13,Настоящее,Отношение к высказыванию своего мнения,"Респондентка считает важным высказывать своё мнение, когда от этого зависит что-то важное, но предпочитает делать это по запросу.","Я считаю, что надо это своё мнение высказывать. Когда от своего мнения действительно что-то очень важное зависит, ты видишь, что человек катится в пропасть, и тебе надо обязательно его остановить.","Уверенность, осторожность","Ответственность, уважение к другим, самостоятельность",В зрелом возрасте формируется баланс между самостоятельностью и уважением к границам других людей.,декларация,,,,
014,Настоящее,Рефлексия о публичности интервью,"Респондентка выражает осторожность по поводу того, как её слова будут интерпретированы, и опасается неправильных выводов.","Ну, чтобы мы вот на неправильных выводах не делали.","Осторожность, тревога","Ответственность, честность","Публичность и интерпретация личных историй вызывают тревогу у респондентов, что связано с опасением быть неправильно понятыми.",декларация,,,,
