id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context
1,Детство,Воспоминания о детстве и влияние семьи,"Респондент с трудом вспоминает детали детства, отмечает, что воспоминания обрывочны, возможно, из-за информационной перегрузки в современности. Основной фигурой заботы была бабушка, проявлявшая гиперопеку.","Честно сказать, глубоко детства я уже не очень помню. Потому что это было так давно... Больше бабушка, то есть она как бы заботилась там, что-то как-то так сделала постоянно.","Ностальгия, легкая грусть, спокойствие","Семейная забота, стабильность, поддержка","Респондент демонстрирует типичную для зрелого возраста тенденцию к вытеснению ранних воспоминаний, а также подчеркивает роль старшего поколения (бабушки) в социализации и формировании чувства защищенности.",эпизод,"семья, бабушка",,,True
2,Школьные годы,"Школа, переезды и адаптация","Начальная школа далась тяжело из-за частых переездов и смены коллективов. Были трудности с адаптацией и необходимостью догонять сверстников, но затем ситуация стабилизировалась.","Начальная школа, она почему-то мне не очень далась. А потому что в этот период мы часто переезжали... Проблема была во втором, в третьем классе нагнать своих сверстников.","Сдержанность, легкая тревога, удовлетворение от преодоления","Адаптация, преодоление трудностей, самостоятельность",Частые переезды в детстве могут затруднять формирование устойчивых социальных связей и влиять на образовательную траекторию. Респондент отмечает важность адаптации к новым условиям.,эпизод,школа,,,True
3,Юность,Выбор профессии и влияние семьи,"После 9 класса по рекомендации матери поступил в ветеринарный техникум, так как выбор учебных заведений был ограничен. Мать руководствовалась своим жизненным опытом.","Потому что на тот период времени мама рекомендовала так, что лучше после 9 класса пойти и закончить техникум... Ее выбор был такой-то крайний.","Принятие, рациональность","Семейные традиции, прагматизм, послушание","Решение о профессиональном образовании принималось под влиянием родительского авторитета и ограниченного выбора в малом городе, что типично для постсоветских реалий.",узел,ветеринарный техникум,,,True
4,Юность — ранняя зрелость,Учёба и особенности восприятия информации,Учёба в техникуме давалась легко благодаря слуховой памяти и внимательности. Быстро нашёл общий язык с преподавателями.,"В то время я вообще достаточно хорошо усваивал материал, то есть достаточно было не просто прочитать и запомнить. Сейчас довольно-таки сложно учиться, допустим, уже с возрастом...","Удовлетворение, лёгкая ностальгия","Образование, саморазвитие, эффективность",Респондент отмечает различие в когнитивных способностях с возрастом и подчеркивает важность индивидуальных стратегий обучения.,эпизод,ветеринарный техникум,,,True
5,Ранняя зрелость,Первые шаги в профессии и смена сфер деятельности,"После службы работал ветеринарным фельдшером, но из-за распада совхоза сменил профессию и поступил в пожарную охрану, где понадобилось юридическое образование.","После службы я работал ветеринарным фельдшером больше года, до момента распада совхоза. Потом ушел работать в пожарную охрану...","Адаптация, прагматизм","Гибкость, профессиональное развитие, устойчивость","Смена профессии обусловлена экономическими и структурными изменениями в стране (распад совхозов), что типично для 1990-х годов.",перелом,"пожарная охрана, совхоз",,смена сектора занятости,True
6,Ранняя зрелость — зрелость,Получение юридического образования и профессиональная адаптация,"Для работы в пожарной охране поступил в колледж, затем в институт на юридический факультет. Учёба нравилась, особенно в период реформирования законодательства.","В общем-то, очень нравилось, особенно в тот период времени, когда законы принимались с катастрофической скоростью...","Интерес, вовлечённость","Профессионализм, образование, адаптация к переменам","Респондент оказался свидетелем и участником институциональных изменений в стране, что повлияло на его профессиональную траекторию.",узел,"юридический колледж, институт",,,True
7,Зрелость,Профессиональная деятельность и смена работы,"Работал в разных сферах, в том числе руководил подразделением пожарной части, занимался частным бизнесом, искал работу через службу занятости и по знакомству. Основной мотив смены работы — экономическая составляющая.","Экономическая составляющая. То есть, допустим, в то время же было как? То есть была определенная заработная плата. Соответственно, цены росли быстро. Работодатель не успел повышать заработную плату, приходилось искать что-то новое.","Прагматизм, спокойствие","Экономическая стабильность, самостоятельность, адаптивность","Экономическая нестабильность и инфляция вынуждали респондента к частой смене работы, что характерно для постсоветского периода.",эпизод,,,"активный поиск работы, смена сфер",True
8,Зрелость,Положительный опыт работы,"Особенно нравилась работа в московской компании общественного питания из-за командировок, динамики и хорошей оплаты.","Ну, в компании, где я работал, корпус группы, Московская компания, организация общественного питания, мне понравилась работа. Ну, потому что были периодические командировки...","Удовлетворение, энтузиазм","Динамика, финансовая выгода, новые впечатления","Для респондента важна не только материальная составляющая, но и возможность перемещаться, получать новые впечатления.",эпизод,"корпус группы, общественное питание",,,True
9,Зрелость,Отношение к военной службе,"Военная служба не подходит респонденту по личным качествам и возрасту, но контракт продлён из-за мобилизации. Основные трудности — физические нагрузки и бытовая неустроенность.","К сожалению, не отпускает. У меня контракт закончился, а нас не отпускает, потому что идет период мобилизации.","Усталость, раздражение, принятие","Честность, реализм, стремление к свободе","Служба по контракту в зрелом возрасте воспринимается как вынужденная мера, связанная с внешними обстоятельствами (мобилизация), а не внутренней мотивацией.",декларация,"военная служба, Росгвардия",0.0,,True
10,Зрелость,Быт и отношения в зоне СВО,"Основные трудности службы — физические нагрузки, бытовая неустроенность, совместное проживание в блиндаже. Отмечает сплочённость коллектива и взаимопомощь, несмотря на разницу поколений.","Ну потому что, например, живешь в блиндаже... Но это же все равно, это же, допустим, дождь прошел, это грязь, Да, это холод... Все стараемся общий язык найти. Потому что, во-первых, ситуация такая, она сплачивает, сближает.","Стойкость, солидарность, усталость","Коллективизм, взаимопомощь, выносливость","Военная среда способствует формированию крепких горизонтальных связей и коллективной идентичности, что помогает справляться с трудностями.",эпизод,"военная часть, Росгвардия",0.0,,True
11,Зрелость,Мотивация к военной службе,"Основные мотивы — экономическая необходимость (погашение кредитов), желание проверить себя, а также патриотизм.","Во-первых, экономическая составляющая тоже была актуальна... Ну и больше хотел, честно говоря, проверить себя... Если бы не было чувства патриотизма, я бы, наверное, даже бы и не пошел.","Решимость, самоирония, патриотизм","Самопроверка, долг, материальная ответственность","Мотивация к службе складывается из сочетания экономических обстоятельств, личных вызовов и патриотических чувств, что типично для зрелых мужчин в условиях экономической нестабильности.",декларация,военная служба,,контрактная служба,True
1,"служба в Росгвардии, период СВО",Бытовые условия и питание на службе,"Респондент описывает бытовые условия и организацию питания во время службы в Росгвардии в зоне СВО. Отмечает, что структура гибкая, питание организовано хорошо, но бывают сложности с горячей едой и баней.","С питанием вообще все отлично. С питанием вообще все хорошо, питание поступает вовремя. Но если нет возможности горячего питания, с сухими пайками как-то всё это идёт...","спокойствие, принятие, легкая усталость","терпение, адаптация, коллективизм","Респондент демонстрирует адаптацию к сложным условиям, подчеркивает важность терпения и коллективной поддержки. Описывает типичные для военной службы бытовые трудности и способы их преодоления.",эпизод,Росгвардия,0.0,False,
2,вступление в брак,Семейная жизнь и значимость даты,"Респондент рассказывает о вступлении в официальный брак, выборе особенной даты и связанных с этим воспоминаниях.","В брак я вступил в такую дату 12. 12. 2012. Специально выбрали. За полтора месяца пришли, так сказать, в ЗАГС, чтобы эту дату заполучить.","гордость, радость, легкая ирония","семья, традиции, память о важных событиях",Выбор даты и связанные с этим истории иллюстрируют важность символических моментов и ритуалов в семейной жизни. Подчеркивается ценность официального брака.,эпизод,ЗАГС,0.0,False,
3,"семейная жизнь, рождение ребенка",Влияние рождения сына на приоритеты,"Рождение сына изменило приоритеты респондента, появились новые заботы и необходимость жертвовать личными расходами ради нужд ребенка.","Приходится какие-то траты уже в чем-то себе отказать. Отправить ребенка на какие-то нужды, на лечение, в зависимости от ситуации.","ответственность, забота","семья, забота о детях, ответственность","Рождение ребенка становится переломным моментом, меняющим структуру расходов и систему ценностей. Демонстрируется типичная для российского общества установка на жертвенность ради детей.",перелом,семья,0.0,False,
4,"развитие отношений, семейная жизнь",Значимые отношения и конфликты,"Респондент отмечает, что в жизни были значимые отношения, периоды ссоры и примирения, что считает нормальным процессом. Подчеркивает важность решения конфликтов.","В жизни нет такого, что все гладко. Все равно с переменами возникает какое-то недопонимание, которое нужно как-то тихонько решить.","реализм, принятие","коммуникация, терпимость, работа над отношениями",Отношение к конфликтам как к естественной части жизни отражает зрелый взгляд на отношения и важность эмоционального интеллекта.,декларация,семья,0.0,False,
5,"профессиональная деятельность (МЧС, Росгвардия)",Стрессоустойчивость и поведение в экстремальных ситуациях,"Респондент рассказывает о работе в МЧС, умении справляться со стрессом, мобилизации в сложных ситуациях и наблюдении за реакциями других людей.","Я же все-таки в МЧС работал... самое главное успокоиться, принять это, а потом уже можно проанализировать.","уверенность, спокойствие","самоконтроль, профессионализм, ответственность",Опыт работы в экстренных службах формирует особую стрессоустойчивость и способность к быстрой мобилизации. Подчеркивается отличие от менее подготовленных людей.,узел,"МЧС, Росгвардия",0.0,False,
6,"служба в зоне СВО, Мариуполь",Распорядок дня и условия службы,"Описывается типичный распорядок дня на службе, особенности казарменного положения, совместное проживание, конфликты из-за скученности, а также изменения после отмены казарменного положения.","До этого, до прошлого года, до 17 мая, мы были, получается, была зона специальной военной операции, Мы находились на казарменном положении, жили в казарме. Ну как в казарме? Бывшее здание разрушенной больницы...","усталость, адаптация, облегчение","дисциплина, коллективизм, адаптация","Жизнь в условиях военной службы требует высокой адаптивности и терпимости к бытовым неудобствам. Совместное проживание усиливает коллективные связи, но порождает конфликты.",эпизод,Росгвардия,0.0,False,
7,"служба в Мариуполе, период СВО",Взаимоотношения с местным населением,"Респондент отмечает, что население Мариуполя неоднородно по отношению к военным, часть лояльна, часть — нет, что связано с разрушением города и потерей имущества.","В Майуполе там достаточно недружелюбное население. Да? Конечно. И поэтому там население такое, не сказать, что пока еще сильно лояльное. Но их можно понять. У них уничтожили город фактически...","понимание, сочувствие, осторожность","справедливость, эмпатия, безопасность","Респондент демонстрирует понимание причин недоверия и враждебности со стороны местных жителей, что говорит о рефлексии и эмпатии к пострадавшим.",декларация,Росгвардия,0.0,False,
8,"служба, отпуск, обучение",Учеба в магистратуре и саморазвитие,"Респондент учится в магистратуре по программе «Время героев», использует учебные отпуска для образования, отмечает поддержку таких инициатив.","На магистратуре я учусь... если сейчас учусь я по программе «Президентское время героев», тоже как бы есть такая программа...","удовлетворение, интерес","саморазвитие, образование, карьерный рост","Военные и государственные программы поощряют дополнительное образование, что способствует профессиональному и личностному росту участников СВО.",эпизод,"магистратура, программа «Время героев»",0.0,False,
9,"служба, отпуск",Отдых и способы восстановления,"Респондент рассказывает о способах отдыха: прогулки на море, чтение, просмотр фильмов, общение с товарищами. Отмечает важность психологической разгрузки.",Перед психологической разгрузкой на море хожу.,"усталость, стремление к восстановлению","психологическое здоровье, дружба, баланс","В условиях стресса и напряжения военной службы респонденты ищут способы восстановления, часто используя природу и общение как ресурс.",эпизод,Росгвардия,0.0,False,
10,гражданская жизнь до СВО,Обыденная жизнь и досуг до СВО,"До начала СВО жизнь респондента была типичной: работа в будни, отдых и развлечения в выходные, поездки в торговые центры, дача.","Ну, все как обычно, как у всех.","нейтральность, легкая ностальгия","стабильность, семейные традиции, трудолюбие","Жизнь до СВО воспринимается как более предсказуемая и стабильная, с типичными для среднего класса паттернами досуга и потребления.",декларация,,0.0,True,
11,"гражданская жизнь, семья",Распределение домашних обязанностей и ремонт,"В семье обязанности распределяются по договоренности, респондент выполняет мелкий ремонт, сложные работы доверяет специалистам. Вспоминает семейные традиции, связанные с ремонтом.","Мы по-разному как-то договариваемся, что-то делаем, допустим.","спокойствие, практичность","партнерство, рациональность, семейные традиции","Современная семья склонна к гибкому распределению обязанностей, часть работ делегируется профессионалам. Вспоминаются традиции старших поколений.",эпизод,семья,0.0,True,
12,"гражданская жизнь, семья",Домашние животные и отношение к ним,"В семье есть кошка-сфинкс, взятая из приюта, и собака. Кошка воспринимается как мудрое и понимающее существо.",Кошка более спокойная. Кошка-сфинкс. Ух ты! Ее из приюта забрали. Она уже была взрослая особь.,"теплота, привязанность","забота о животных, эмпатия",Отношение к животным как к полноправным членам семьи отражает современные ценности городской семьи.,эпизод,семья,0.0,False,
13,"служба, отпуск",Связь с семьей во время службы,"Респондент поддерживает связь с семьей через Telegram, избегает других каналов из соображений безопасности.",По телеграмму общаемся. По другим источникам и каналам не рекомендовано общаться.,"осторожность, забота","безопасность, семейные связи","Военные реалии диктуют ограничения на коммуникацию, что влияет на поддержание семейных связей и эмоциональное состояние.",эпизод,Росгвардия,0.0,False,
14,"настоящее время, служба",Значимость близких и круг общения,"Респондент выделяет в круге близких жену и сына, остальные — знакомые разной степени близости. Бабушка и дедушка умерли.","Из близких у меня, соответственно, сын, жена. Все остальные это кто-то из знакомых.","спокойствие, легкая грусть","семья, близкие отношения","Семья занимает центральное место в системе социальных связей, остальные отношения воспринимаются как менее значимые.",декларация,семья,0.0,False,
1,"Взрослая жизнь, зрелость",Отношения с матерью,"Респондент рассказывает об изменениях в отношениях с матерью, подчеркивает разницу поколений и взглядов, отмечает редкие встречи из-за проживания в разных городах, связь поддерживается по телефону.","То есть мама, она живет вообще в другом городе, то есть она редко к нам приезжает. Так, созваниваемся по телефону, то есть у нее там какие-то свои, вот свое какое-то видение...","спокойствие, принятие","уважение к родителям, принятие различий, семейные связи",Дистанция между поколениями и географическая разобщенность типичны для современных российских семей; поддержание связи преимущественно дистанционно.,эпизод,семья,,,True
2,"Взрослая жизнь, зрелость",Семейные традиции и конфликты,"В семье респондента были материальные конфликты и разногласия по воспитанию ребенка, но серьезных конфликтов не было. Традиции ограничиваются празднованием дней рождения и поездками на море, которые сейчас прекратились.","Конфликты были материальные. В основном же из-за материального конфликтов были... Конфликты по воспитанию ребенка. Не конфликты, скорее всего, должны быть конфликты.","нейтральность, легкая усталость","стабильность, семейное согласие, материальное благополучие",Материальные вопросы и воспитание детей — частые источники напряжения в российских семьях. Традиции становятся менее устойчивыми из-за изменений в образе жизни.,эпизод,,,,True
3,"Взрослая жизнь, зрелость",Отношения с супругой,"Респондент ценит в отношениях с женой взаимопонимание, партнерство и способность договариваться. Отмечает различие интересов, но подчеркивает стратегическое партнерство.","У нас какое-то партнерство идет. Как-то так получается. Правильно это или нет, я, честно говоря, даже не знаю. Но пока такой период. Такого стратегического партнерства.","удовлетворение, спокойствие","партнерство, взаимопонимание, уважение","Современные браки часто строятся на партнерстве и равноправии, что отражает сдвиг от традиционных патриархальных моделей.",декларация,,,,True
4,"Взрослая жизнь, зрелость",Финансовые отношения в семье,"Бюджет в семье совместный, но респондент придерживается правила иметь 'заначку', чему его научила бабушка. Крупные покупки обсуждаются, мелкие — на усмотрение жены.","Мне еще бабушка научила, что жене никогда не нужно все деньги отдавать. Тебе должна быть заначка.","ирония, легкая улыбка","финансовая самостоятельность, семейная традиция, осторожность","Сочетание совместного бюджета и личных накоплений — типичная практика для российских семей, отражающая недоверие к полной открытости в финансовых вопросах.",эпизод,,,,True
5,"Взрослая жизнь, зрелость",Профессиональная деятельность супругов,"Профессиональные интересы супругов не пересекаются. Жена — детский массажист, респондент помогал ей в обучении во время пандемии.","Она детский массажист. Она массажи деткам делала. Закончила медицинский колледж. Собственно, я ей помогал в обучении.","поддержка, забота","взаимопомощь, поддержка, образование","Пандемия усилила взаимную поддержку в семьях, особенно в вопросах образования и профессионального развития.",эпизод,,,,True
6,"Взрослая жизнь, зрелость",Родительство и отношения с сыном,"Появление сына изменило отношения в семье, основное воспитание на жене, респондент работает на нескольких работах. С сыном есть совместные занятия (баня, бассейн), отношения ровные, конфликты минимальны.","Потому что сын – это новый член семьи, на которого нужно уделить внимание, свою любовь, материали. Это же не кошка с собакой.","ответственность, забота","семья, забота о детях, ответственность","Традиционное распределение ролей: мать — основной воспитатель, отец — добытчик, но при этом старается участвовать в жизни ребенка.",эпизод,,,,True
7,"Взрослая жизнь, зрелость",Дружба и социальные связи,"Друзей детства не осталось из-за частых переездов. Основные контакты — коллеги по службе, особенно из МЧС. Общение строится на совместном решении задач, конфликты старается избегать.","Детства у меня уже сейчас нет, потому что я очень много переезжал. С кем я общался, они уже выросли и в другом городе живут.","легкая грусть, принятие","профессиональная солидарность, адаптация, избегание конфликтов","Мобильность и смена мест жительства приводят к размыванию детских связей, а профессиональные контакты становятся основой социальной поддержки.",эпизод,,,,True
8,"Взрослая жизнь, зрелость",Одиночество и доверие,"Респондент не испытывает одиночества из-за постоянного нахождения среди людей на работе. Доверяет супруге, чувствует себя социально включенным.",Там постоянно ты находишься 24 на 7 с людьми. Там вообще нет одиночества.,"уверенность, спокойствие","социальная включенность, доверие","Плотный рабочий график и коллективная работа компенсируют недостаток близких друзей, снижая чувство одиночества.",декларация,,,,True
9,"Взрослая жизнь, зрелость",Здоровье и отношение к нему,"Респондент не уделяет особого внимания здоровью, но регулярно сдает кровь как донор, что позволяет контролировать состояние. Беспокоят только зубы и возрастные изменения.",Я вообще сам являюсь донором. У меня на сегодняшний день 20 дней уже кровосдачи.,"спокойствие, легкая гордость","альтруизм, здоровье, невозмутимость",Донорство — проявление социальной ответственности; регулярные медицинские проверки становятся частью образа жизни.,декларация,,,донорство,True
10,"Взрослая жизнь, зрелость",Питание и влияние болезни,"После перенесенного ковида изменились пищевые привычки: мясо стало плохо усваиваться, предпочтение отдается рыбе. Связывает изменения с болезнью.",Вообще в последнее время я почему-то не могу мясо есть. Шашлык вообще не могу есть. Но это после ковида.,"удивление, принятие","здоровье, адаптация","Пандемия COVID-19 повлияла не только на здоровье, но и на повседневные привычки, включая питание.",эпизод,,,,True
11,"Взрослая жизнь, зрелость",Страх вождения и последствия аварии,"После аварии во взрослом возрасте у респондента развился страх вождения, он предпочитает быть пешеходом, не испытывает дискомфорта от отсутствия водительских навыков.",У меня психологический страх встречных автомобилей. Не знаю с чем это связано. После встречи у меня решение идет. Я теряю.,"спокойствие, принятие","безопасность, самопринятие","Травматический опыт может формировать устойчивые поведенческие паттерны, которые воспринимаются как норма.",перелом,,,,True
1,"Зрелый возраст, семейная жизнь",Отношение к вредным привычкам и здоровью,"Респондент крайне редко употребляет алкоголь и не переносит курение, особенно запах сигарет. После перенесённого ковида появилось отвращение к алкоголю. Окружение курящих людей вызывает психологический дискомфорт.","Просто мне противно, скажем так, все эти сигареты, этот дым.","Отвращение, раздражение, дискомфорт","Здоровый образ жизни, личные границы, забота о самочувствии","Респондент демонстрирует устойчивое неприятие вредных привычек, что может быть связано как с личным опытом (ковид), так и с изменением социальных норм в отношении курения и алкоголя.",декларация,,,,
2,"Зрелый возраст, семейная жизнь","Физическое и психическое здоровье, обращение за медицинской помощью","Респондент редко обращается к врачам, считает себя достаточно здоровым, связывает это с хорошим иммунитетом. Медицинская страховка только базовая, ДМС не считает необходимым. Эмоциональное состояние в целом ровное, усталость и тревога бывают, но справляется сам, предпочитает прогулки и чтение. К психологу не обращается, нет такой потребности.","Я особо не болею. Если даже температура какая-то появляется, 1-2, сама проходит и достаточно.","Спокойствие, уверенность, некоторая усталость","Самостоятельность, рациональность, устойчивость","Респондент демонстрирует типичную для мужчин зрелого возраста стратегию минимизации обращений к врачам и самостоятельного преодоления трудностей. Отсутствие обращения к психологу отражает как личные установки, так и культурные барьеры.",декларация,государственная медицина,,,
3,"Зрелый возраст, семейная жизнь",Забота о близких и здоровье семьи,"Респондент переживает за здоровье сына и супруги, отмечает появление возрастных проблем у жены. Опыт ухода за бабушкой был, но недолгий. О будущем здоровье не тревожится, регулярно сдаёт анализы, считает себя здоровым.","Конечно, ребёнок заболеет чуть-чуть. А мы с ним там уже нечего поделать.","Забота, спокойствие, некоторая тревога","Семья, ответственность, забота о близких",Семейная забота и регулярный мониторинг здоровья отражают ценности зрелого возраста и родительской ответственности. Отсутствие тревоги о будущем может быть защитной стратегией.,эпизод,,,,
4,"Зрелый возраст, семейная жизнь",Финансовое положение и отношение к деньгам,"Респондент оценивает своё финансовое положение как далёкое от идеала, отмечает влияние медиа на восприятие нормы. Испытывает финансовую неудовлетворённость, считает, что она свойственна большинству. Активно совмещал разные виды занятости, предпринимал попытки бизнеса, но предпочитает стабильность госслужбы с возможностью подработки.","Финансовая неудовлетворенность, мне кажется, сейчас есть у всех, независимо от количества получаемых денежных средств.","Реализм, некоторая неудовлетворённость, прагматизм","Стабильность, ответственность, адаптивность",Респондент иллюстрирует типичный для постсоветского пространства конфликт между желанием стабильности и стремлением к самостоятельности. Предпочтение госслужбы с подработками отражает адаптацию к экономической нестабильности.,декларация,"госслужба, малый бизнес",,"частичная (подработки, маркетплейсы)",
5,Молодость — зрелость,Опыт предпринимательства и профессионального выбора,"В молодости респондент пробовал себя в частном охранном бизнесе и туристическом бизнесе, но из-за нестабильности и рисков предпочёл наёмную работу. Тем не менее, периодически возвращается к идее подработок и небольшого бизнеса, но не готов полностью уйти из найма.","Бизнес это фактически игра. То есть либо ты выигрываешь, либо ты проигрываешь.","Осторожность, прагматизм, интерес","Стабильность, самостоятельность, готовность к риску в ограниченных пределах","Опыт предпринимательства рассматривается как этап взросления и поиска себя, но в зрелости доминирует ценность стабильности. Поддерживается стратегия диверсификации доходов.",узел,"частный бизнес, госслужба",,эпизодическая,
6,"Зрелый возраст, семейная жизнь",Структура расходов и семейный бюджет,"Основные расходы — на питание, содержание семьи, автомобиль, парковку. Сын посещает платную спортивную секцию. Приходится экономить на повседневных тратах, отдавая приоритет нуждам ребёнка. Спонтанные покупки случаются, особенно если есть скидки.","Если ты пытаешься сэкономить что-то, что ты хотел себе купить, надо думать, что лучше ребенка купить, потому что ему сейчас нужнее.","Забота, рациональность, умеренное удовольствие","Семья, рациональность, забота о детях",Распределение бюджета отражает традиционные семейные ценности и приоритеты. Экономия и поиск выгодных предложений — адаптация к экономическим реалиям.,эпизод,,,"активная (маркетплейсы, скидки)",
7,"Зрелый возраст, семейная жизнь",Потребительское поведение и отношение к покупкам,"Респондент активно использует маркетплейсы, покупает как новые, так и бывшие в употреблении вещи, особенно для детей. Крупные покупки осуществляет в кредит. Сбережения предпочитает диверсифицировать, не хранит всё в банке.",Яйца держу у разных организмов.,"Прагматизм, осторожность, рациональность","Рациональность, гибкость, финансовая грамотность","Потребительское поведение респондента отражает современные тренды: использование маркетплейсов, вторичного рынка, диверсификация сбережений. Кредитование воспринимается как норма.",декларация,"банки, маркетплейсы",,активная,
